#CODE;ENGLISH;;;;;;;;;;;;;x
## Titles
dw_beauty_beast;Beauty and the Beast;;;;;;;;;;;;;x
dw_beauty_beast_hunt;Hunting the Beast;;;;;;;;;;;;;x
dw_beauty_beast_attacks;The Beast Attacks;;;;;;;;;;;;;x
dw_ck2_wonderland;Alice in Wonderland;;;;;;;;;;;;;x
dw_aladdins_lamp_title;Aladdin's Lamp;;;;;;;;;;;;;x
## Custom Tooltips
dw_beautys_village_recovery;The demands of your office make it difficult to visit the small village more than once every few months.;;;;;;;;;;;;;x
dw_beast_recovery;The Beast can only leave his lands once a decade.;;;;;;;;;;;;;x
## Events
DWFairyTales100;My carriage stops by a small town on our way back to the capital. While walking about the town square I just miss running into a young lady who was distracted by a book she was reading. Startled, she blushes and says, "My apologies my [Root.GetLordLady], I didn't notice you." \n  I accept her apology and inquire about her reading. "My father taught me how to read, he was a travelling merchant, before settling down here to work as the cobbler." \n  I find it pleasant speaking with the young woman. I learn her name is Belle, and that she maintains her father's books. When I ask about what she feels is worth visiting in town, she shares, "Besides my father's shop, folks enjoy the bakery, hunting in the nearby lands, or relaxing with some song and drink in the lodge." \n  I fear I must go, but perhaps I'll visit in the future.;;;;;;;;;;;;;x
DWFairyTales100A;I can now visit the town from my Intrigue menu.;;;;;;;;;;;;;x
DWFairyTales111;The small village is bustling with activity. I notice the people are rather upbeat. A pleasant difference from the stress that can often be found at the capital. \n  I was given several recommendations by Belle on places to visit. After some consideration I believe I shall stop by...;;;;;;;;;;;;;x
DWFairyTales111A;Visit the Cobbler;;;;;;;;;;;;;x
DWFairyTales111B;Visit the Bakery;;;;;;;;;;;;;x
DWFairyTales111C;Visit the Lodge;;;;;;;;;;;;;x
DWFairyTales111D;Go hunting;;;;;;;;;;;;;x
DWFairyTales111E;Visit Belle and the Beast;;;;;;;;;;;;;x
DWFairyTales121;I find the Cobbler's easy enough. It's a small shop, just off the town centre. An older gentleman is working away at his trade, with a variety of well made shoes around the shop. \n  I clear my throat and the old cobbler looks up almost startled. "Good day! Welcome to my shop. Are you looking for some reliable footwear?" \n  If he's Beauty's father, she must be youngest of several siblings, or perhaps he just got lucky in his advanced age. I return his smile and say...;;;;;;;;;;;;;x
DWFairyTales121A;I'd like to purchase a comfortable set of shoes.;;;;;;;;;;;;;x
DWFairyTales121B;Is your daughter Belle around?;;;;;;;;;;;;;x
DWFairyTales121C;I'm just here to look around today.;;;;;;;;;;;;;x
DWFairyTales140;Belle's father points at a door near the back of his shop. "She's probably back there reading. You're free to go see her. She gets on me if I turn away visitors." \n  I pass through the door and make my way towards the back where I find Belle sitting against a wall, reading contently in the warm afternoon sun that shines through the window. Like her father, she doesn't notice me right away. I'm about to clear my throat and gain her attention when I notice her bite her lip and make a simple gesture of rubbing a finger across a nipple that I can see straining under her top. With a smile, I clear my throat. \n  Belle's eyes go wide in shock and she stands upright. She blushes before composing herself. "It's nice to see you again. I was just getting some reading in before my afternoon chores.";;;;;;;;;;;;;x
DWFairyTales140A;I brought a book for you from Paris called L'amour.;;;;;;;;;;;;;x
DWFairyTales140B;I brought a book for you from the East. The Kama Sutra.;;;;;;;;;;;;;x
DWFairyTales140C;Would you join me for a hunting trip?;;;;;;;;;;;;;x
DWFairyTales140D;Join me for a drink at the lodge?;;;;;;;;;;;;;x
DWFairyTales149;Belle's father taps his chin thoughtfully. "You know, I'm not really certain where she's at my [Root.GetLordLady]. I've not seen her all day." \n  I ponder things for a moment. Could it be that I've miss understood where an event was supposed to be taking me? Or is it simply a case where DEWGuru hasn't expanded the story line further. After all, he does bounce around and doesn't always fully complete the larger event chains. Of course, I could be seeing this in error as well. \n  With too many unanswered questions, I nod and wave to the cobbler.;;;;;;;;;;;;;x
DWFairyTales149A;Okay, thank you for your time.;;;;;;;;;;;;;x
DWFairyTales150;Belle's eyes brighten as she takes the book. She smiles as she rubs the cover. "I've heard about this book. It's about the love a knight has for a lady, yet his duties make it difficult for them to be together. It's somewhat of a tragedy, yet very romantic as it explores what it is to love." \n  I can't help but smile in return to Belle's exuberant smile. "I remembered you enjoyed books, and hoped you'd like it." \n  Belle clutches it to her chest, "I'll read it twice, no, three times through. Oh it's a wonderful gift [Root.GetFirstName]. I'd begin now, but I fear it's time I take care of my duties." \n  She hesitates then, for just a moment as though making up her mind, then she steps towards me, looks up into my eyes and gives the softest kiss upon my cheek. "Until next time my [Root.GetLordLady].";;;;;;;;;;;;;x
DWFairyTales150A;I look forward to seeing you again Belle.;;;;;;;;;;;;;x
DWFairyTales160;Belle's eyes seem to sparkle as she takes the book. She flips though it and gasps, before slamming shut and giggling. "I'd heard that it had drawings of... different ways..., you know. Any way, it originally was only written word, and pictures were added later to help those with trouble comprehending what was written." \n  I'm uncertain what interests me more. The fact that she's not offended by the very suggestive book, or that she's actually familiar with its history. I realize I'm staring at her rather intently as I ponder the thought, which causes her to blush deeply. \n  "I look forward to reading it my [Root.GetLordLady] and am very thankful for the gift. I fear I must go begin work, yet I assure you that if you visit again, I'll be able to discuss it with you, should you wish.";;;;;;;;;;;;;x
DWFairyTales160A;I look forward to discussing it with you Belle.;;;;;;;;;;;;;x
DWFairyTales170;Belle's smile fades a bit when I mention hunting. "My [Root.GetLordLady], I regret that I've no interest in hunting. In fact, while I find hunters rather fascinating, I fear that I've been found to have quite the weak stomach around the death of an animal. Especially those that are cute and cuddly." \n  While her reasoning isn't uncommon, it's interesting to see her seem to feel genuinely bad for turning me down. Until she perks up for a moment as idea obviously strikes her. \n  "Gaston! He's our best hunter in the area, and extremely popular as well. I'm certain he'd make a great hunting partner and your bounty would be grand. I must be starting my chores soon, but I could introduce you to him first.";;;;;;;;;;;;;x
DWFairyTales170A;Please do introduce me to Gaston.;;;;;;;;;;;;;x
DWFairyTales170B;I fear I've not the time today. Until next time.;;;;;;;;;;;;;x
DWFairyTales180;Belle introduces me to a broad shouldered, strapping young man with a strong chin and an air of confidence about him. "Gaston, I'd like to introduce you to [Root.GetBestName]. [Root.GetSheHeCap] is interested in going on a hunt, and I recommended you." \n  Gaston bows towards me, sweeping his hand in an exaggerated fashion. "Gaston is honored to hunt with you. We shall bring down quite the prize today." As if to emphasize his point, he puffs out his chest and gives it a thump with his fist. He then turns towards Belle and gives her a wink while flashing an impressively large smile. Belle smiles and excuses herself. \n  "Ah, a wildcat waiting to be tamed that one. The day wears on though, let's get started.";;;;;;;;;;;;;x
DWFairyTales180A;I hope the game is worth the company.;;;;;;;;;;;;;x
DWFairyTales185;The hunt goes surprisingly well. While Gaston is clearly not lacking in the self-confidence department, he is indeed an excellent hunter, capable at both tracking, giving pursuit, and his aim with a bow is true. As the day draws to a close and we're returning with our game, I find that I did indeed enjoy the trip. Then Gaston offers forth an idea. \n  "The Belle, she's quite the looker. Did you know that she will take a picnic by herself in the woods? She doesn't realize that I watch over her, which makes her refusing me all the more difficult. Next time you visit, if she's having a picnic, I'd be willing to show you. Perhaps together we can get her to show us appreciation for watching over her. What say you my [Root.GetLordLady]?;;;;;;;;;;;;;x
DWFairyTales185A;I like the idea. I'll see you next time.;;;;;;;;;;;;;x
DWFairyTales185B;I'll have to pass on your offer Gaston.;;;;;;;;;;;;;x
DWFairyTales185C;What about you and I instead?;;;;;;;;;;;;;x
DWFairyTales185D;I appreciate the hunt Gaston. Until next time.;;;;;;;;;;;;;x
DWFairyTales190;Gaston looks at me in earnest, as though he's sizing me up. Then shrugging he says, "It not every day a ruler asks to bed me, so I'd be a fool to refuse. Besides, I'd be lying if I were to say it was my first time with a man." \n  We end up returning to Gaston's home, where his over the top energy continues as after stripping down, he takes the time (and great pleasure) in showing off his well sculpted body. \n  After the show is over, Gaston moves onto sex with the a gusto. It's a cock fight initially. Lot's of slapping, rubbing, and wrestling for position. Gaston obviously enjoys being the dominate one, and while he continues to talk, it's somehow stimulating. He also shows that he's not lacking in stamina. By the time we're done, almost two hours have passed.;;;;;;;;;;;;;x
DWFairyTales190A;Attend my court, I'd like you as my lover.;;;;;;;;;;;;;x
DWFairyTales190B;It was a good finish to a good hunt.;;;;;;;;;;;;;x
DWFairyTales195;With his large exaggerated motions, Gaston bows before me. "What man of sound mind could consider turning down [Root.GetBestName]?" \n  Soon after I find myself at Gaston's home, a cosy, well made place with the décor fitting of an overly masculine hunter of notable skill. I sip my wine as I recline by the fire place as Gaston enters the room. He's naked and with his amazingly large smile, begins to go through various poses, showing me every aspect of his lean fit body. I applaud him has he finishes and struts over to me. \n  For the next couple of hours, I'm amazed by the stamina and skill Gaston displays. I couldn't do anything more than stammer out an agreement as he was pounding my pussy with his large dick, while proudly proclaiming, "No one fucks like Gaston!";;;;;;;;;;;;;x
DWFairyTales195A;Gaston, attend my court and be my lover.;;;;;;;;;;;;;x
DWFairyTales195B;A fine finish to the hunt before I head home.;;;;;;;;;;;;;x
