#CODE;ENGLISH;;;;;;;;;;;;;x
dw_ca_lair_1;Basic Lair;;;;;;;;;;;;;x
dw_ca_lair_2;Villainous Lair;;;;;;;;;;;;;x
dw_ca_lair_3;Great Villainous Lair;;;;;;;;;;;;;x
dw_ca_lair_4;Grand Villainous Lair;;;;;;;;;;;;;x
dw_ca_lair_5;Mighty Villainous Lair;;;;;;;;;;;;;x
dw_ca_lair_desc;Where Villains scheme, train, hoard, and sleep. A home away from home.;;;;;;;;;;;;;x
dw_ca_hall_1;Basic Hall;;;;;;;;;;;;;x
dw_ca_hall_2;Heroic Hall;;;;;;;;;;;;;x
dw_ca_hall_3;Great Heroic Hall;;;;;;;;;;;;;x
dw_ca_hall_4;Grand Heroic Hall;;;;;;;;;;;;;x
dw_ca_hall_5;Mighty Heroic Hall;;;;;;;;;;;;;x
dw_ca_hall_desc;Where Heroes meet, train, plan, and sleep. A home away from home.;;;;;;;;;;;;;x
dw_no_lair_1;Basic Lair;;;;;;;;;;;;;x
dw_no_lair_2;Villainous Lair;;;;;;;;;;;;;x
dw_no_lair_3;Great Villainous Lair;;;;;;;;;;;;;x
dw_no_lair_4;Grand Villainous Lair;;;;;;;;;;;;;x
dw_no_lair_5;Mighty Villainous Lair;;;;;;;;;;;;;x
dw_no_hall_1;Basic Hall;;;;;;;;;;;;;x
dw_no_hall_2;Heroic Hall;;;;;;;;;;;;;x
dw_no_hall_3;Great Heroic Hall;;;;;;;;;;;;;x
dw_no_hall_4;Grand Heroic Hall;;;;;;;;;;;;;x
dw_no_hall_5;Mighty Heroic Hall;;;;;;;;;;;;;x
dw_tb_lair_1;Basic Lair;;;;;;;;;;;;;x
dw_tb_lair_2;Villainous Lair;;;;;;;;;;;;;x
dw_tb_lair_3;Great Villainous Lair;;;;;;;;;;;;;x
dw_tb_lair_4;Grand Villainous Lair;;;;;;;;;;;;;x
dw_tb_lair_5;Mighty Villainous Lair;;;;;;;;;;;;;x
dw_tb_hall_1;Basic Hall;;;;;;;;;;;;;x
dw_tb_hall_2;Heroic Hall;;;;;;;;;;;;;x
dw_tb_hall_3;Great Heroic Hall;;;;;;;;;;;;;x
dw_tb_hall_4;Grand Heroic Hall;;;;;;;;;;;;;x
dw_tb_hall_5;Mighty Heroic Hall;;;;;;;;;;;;;x
