#CODE;ENGLISH;;;;;;;;;;;;;x
DWCombat01.0;We have both perished.;;;;;;;;;;;;;x
DWCombat01.1;I've been killed by my opponent.;;;;;;;;;;;;;x
DWCombat01.2;I've slain my opponent.;;;;;;;;;;;;;x
DWCombat01.3;We both exchange viscous blows, although I avoid the worst, while mine lands cleanly.;;;;;;;;;;;;;x
DWCombat01.4;We both exchange viscous blows, although my opponent avoids the worst, while I'm wounded.;;;;;;;;;;;;;x
DWCombat01.5;We both exchange viscous blows, each cleanly landing a damaging shot.;;;;;;;;;;;;;x
DWCombat01.9;We keep on fighting, with little change in who is worse for wear.;;;;;;;;;;;;;x
DWCombat01A;Fight On!;;;;;;;;;;;;;x
DWCombat01B;I've died!;;;;;;;;;;;;;x
DWCombat01C;I've won!;;;;;;;;;;;;;x
DWCombat01D;We've both died!;;;;;;;;;;;;;x
