#CODE;ENGLISH;;;;;;;;;;;;;x
#Event Titles
dw_chancellor_claim_motivation;Chancellor Claim Motivation;;;;;;;;;;;;;x
dw_wanted_court_jester;Wanted: Court Jester;;;;;;;;;;;;;x
dw_alchemist_shopping;Shopping for Potions;;;;;;;;;;;;;x
dw_exotic_shopping;Exotic Goods Shopping;;;;;;;;;;;;;x
dw_alchemist_aphrodites_curse;Aphrodite's Curse;;;;;;;;;;;;;x
dw_slave_training_target;Slave Training: [dw_slave_target.GetFirstName];;;;;;;;;;;;;x
dw_slave_sale_target;Slave Sale: [dw_slave_target.GetFirstName];;;;;;;;;;;;;x
dw_slave_profession_decision_target;[dw_slave_target.GetFirstName]'s Role Decision;;;;;;;;;;;;;x
dw_slave_keep_decision_target;[dw_slave_target.GetFirstName]'s Slavery Fate;;;;;;;;;;;;;x
dw_slave_branding_target;Branding of [dw_slave_target.GetFirstName];;;;;;;;;;;;;x
dw_slave_training_complete;[From.GetFirstName] Training Complete;;;;;;;;;;;;;x
dw_slave_learning_limitation;[From.GetFirstName] Training Limitation;;;;;;;;;;;;;x
dw_visiting_brothel_title;Brothel Visit;;;;;;;;;;;;;x
dw_wizard_tower_ruler_visit;The Wizard Tower;;;;;;;;;;;;;x
dw_working_brothel_title;Whoring at the Brothel;;;;;;;;;;;;;x
dw_mage_consult_sorcey;Consulting with Sorcey;;;;;;;;;;;;;x
dw_whore_nomore_title;[dw_nomore_whore.GetFirstName] Whoring Decision;;;;;;;;;;;;;x
dw_stables_morale_title;Morale Building: Stables;;;;;;;;;;;;;x
dw_arena_visit;The Arena;;;;;;;;;;;;;x
dw_arena_stable;Arena Stable Management;;;;;;;;;;;;;x
dw_kidnap_title;The Abduction;;;;;;;;;;;;;x
dw_hermione_event_start;Hermione's Accident;;;;;;;;;;;;;x
dw_hermione_love_potion_title;Hermione's Love Potion;;;;;;;;;;;;;x
dw_ginny_joins_title;Introducing Ginny;;;;;;;;;;;;;x
dw_luna_joins_title;Introducing Luna;;;;;;;;;;;;;x
dw_bordello_buildup;Bordello Improvement Project;;;;;;;;;;;;;x
dw_shantae_dancing_title;Shantae the Dancer;;;;;;;;;;;;;x
dw_mystery_room_visit_title;Bordello Mystery Room;;;;;;;;;;;;;x
dw_gloryhole_title;The Hole of Glory;;;;;;;;;;;;;x
dw_jessica_performance_title;Jessica's Performance;;;;;;;;;;;;;x
dw_going_shopping_title;Shopping Trip;;;;;;;;;;;;;x
#Minor Titles
title_court_wizard;Court Wizard;;;;;;;;;;;;;x
title_court_wizard_desc;A position of respect for one from the Wizard's Order.;;;;;;;;;;;;;x
#Event Descriptions
DWCourt3001;[dw_chancellor.GetFullName] meets with me regarding the work they're doing in fabricating a claim for me. These things are rarely straightforward and easy, with some claim attempts taking years and still coming up empty. \n Depending on my resources, I may be able to help [dw_chancellor.GetFirstName] in making progress in their task. The only question is which method is best? \n After making my decision, I address my Chancellor.;;;;;;;;;;;;;x
DWCourt3001A;Use this money to make some bribes.;;;;;;;;;;;;;x
DWCourt3001B;Perhaps my body can inspire you.;;;;;;;;;;;;;x
DWCourt3001C;Use my good name and renown in your efforts.;;;;;;;;;;;;;x
DWCourt3001D;Leverage my spiritual devotion in your efforts.;;;;;;;;;;;;;x
DWCourt3001E;I've information you can use to gain the support of some nobles.;;;;;;;;;;;;;x
DWCourt3001F;Well, uh, great to see you. Keep up the good work!;;;;;;;;;;;;;x
DWCourt3009;[dw_chancellor.GetFullName] visited me today to provide a report that the attempted bribes failed completely. A most disappointing outcome, which means that my Chancellor simply lacks the intrigue necessary to guarantee success. \n  I can still attempt to motivate the Chancellor again, if I so desire. I'll have to contemplate my next actions some.;;;;;;;;;;;;;x
DWCourt3009A;With a wave of my hand, I dismiss my Chancellor.;;;;;;;;;;;;;x
DWCourt3019;[dw_chancellor.GetFirstName] looks at me with some uncertainty after I offer my body as motivation. "With all due apologies, I regret to inform you that I am not interested in your advances at this time. Please excuse me." \n  With a respectful bow and brisk step, my Chancellor leaves me alone with my thoughts. It looks like I'll have to take a different approach to make progress on the claim attempt.;;;;;;;;;;;;;x
DWCourt3019A;Bah, they don't know what they're missing.;;;;;;;;;;;;;x
DWCourt3011;[dw_chancellor.GetFirstName] smiles and joins me in my chambers. I stop her from undressing herself, and handle the unwrapping myself. I make a point to touch and softly stroke her skin as I remove her clothes. By the time she's naked, her eyes are filled with lust as I push her back onto my silken sheets. \n  We explore each others bodies, taking time to steadily build our passion until the point where it's difficult to contain. \n  We adopt a sixty-nine position, and I focus on flicking her clitoris with my tongue while working my fingers in her pussy, seeking the sensitive spots to give her release. [dw_chancellor.GetFirstName] is skilled herself, and soon it's as though it is a race to see who will bring the other to their peak first. She goes over, just a moment before I scream and convulse in pleasure myself.;;;;;;;;;;;;;x
DWCourt3011A;What an enjoyable council session.;;;;;;;;;;;;;x
DWCourt3012;[dw_chancellor.GetFirstName] nods in agreement and joins me in my chambers. Always the professional, he gives me a breakdown on who the power players are that he's having work in order to fabricate the claim as we undress. Once naked, the shop talk stops and we embrace before moving to the bed. \n  After we both had the opportunity to cum, I was treated to a very delightful treat as [dw_chancellor.GetFirstName] lifted by ass, rolling me into a ball of sorts, and then proceeded to lick my ass with such gusto that I found myself hard again. \n  [dw_chancellor.GetFirstName] didn't let up his attention to my ass, although he did begin to then jerk me off. The dual pleasure ended up being too much, and ended with me cumming all over my chest and face.;;;;;;;;;;;;;x
DWCourt3012A;What an explosive council session.;;;;;;;;;;;;;x
