#CODE;ENGLISH;;;;;;;;;;;;;x
#Custom Tooltips
dw_whore_recovery;Whore Recovering;;;;;;;;;;;;;x
dw_random_image;A random image will be assigned based on your gender.;;;;;;;;;;;;;x
dw_tentacle_finished_mind_fuck;Removes virtues, gives Wroth, Lust, Lunatic, and the opinion that the caster is Master.;;;;;;;;;;;;;x
dw_tentacle_broken_mind_fuck;Removes virtues, gives Slow, Wroth, Lust, Lunatic, and the opinion that the caster is Master.;;;;;;;;;;;;;x
dw_tentacle_imbecile_mind_fuck;Removes positive mental traits, gives Imbecile and a positive opinion of the attacker.;;;;;;;;;;;;;x
dw_tentacle_slow_mind_fuck;Removes positive mental traits, gives Slow and a positive opinion of the attacker.;;;;;;;;;;;;;x
dw_lilith_minor_heal;Removes illness traits and simple wounds.;;;;;;;;;;;;;x
dw_lilith_moderate_heal;Removes some diseases and more severe wounds and disfigurements.;;;;;;;;;;;;;x
dw_lilith_major_heal;Removes major diseases and major physical ailments to include regenerating lost body parts.;;;;;;;;;;;;;x
dw_add_random_npc_notice;This selection will add a random person to your court.;;;;;;;;;;;;;x
dw_life_leech_notice;The target will permanently lose a fraction of their health, as well as obtain a random minor to moderate illness effect.;;;;;;;;;;;;;x
dw_random_whore_notice;A new character with a whore trait will be added to your court.;;;;;;;;;;;;;x
dw_add_npc_court;This will add an NPC to your court.;;;;;;;;;;;;;x
dw_jessica_outcome_tip;Jessica's shows can result in a variety of outcomes (modifiers, trait gain/loss, or nothing);;;;;;;;;;;;;x
dw_bribery_attempt;Trying to sway someone with money can damage their view of you if they don't accept it.;;;;;;;;;;;;;x
dw_mage_trait_choice_tooltip;Is allowed to choose a whether or not they shall become a mage at this time\n;;;;;;;;;;;;;x
dw_major_harmful_soul_corruption_effect_tooltip;One of the risks of dealing with such powers is that our mortal shell may suffer severely as a result.;;;;;;;;;;;;;x
dw_minor_harmful_soul_corruption_effect_tooltip;One of the risks of dealing with such powers is that our mortal shell may suffer an inconvenience as a result.;;;;;;;;;;;;;x
dw_major_beneficial_soul_corruption_effect_tooltip;While others suffer negative effects in dealing with such powers, there are those who seem to be empowered by it.;;;;;;;;;;;;;x
dw_minor_beneficial_soul_corruption_effect_tooltip;While others suffer negative effects in dealing with such powers, there are those who seem to benefit by it.;;;;;;;;;;;;;x
DWSOC1900A_TOOLTIP;You are ready to begin the process and time investment necessary to become a mage (gaining the trait) within the society.;;;;;;;;;;;;;x
DWSOC1900B_TOOLTIP;You are opting to not pursue becoming a mage within the society.;;;;;;;;;;;;;x
DWSOC1902D_TOOLTIP;Ignores the sensation in an attempt to claim greater power. A typically unwise choice.;;;;;;;;;;;;;x
dw_the_chosen_of_lilith_invite_society_member_to_court_tooltip;Place a call to one of the Chosen of Lilith to join your court.;;;;;;;;;;;;;x
dw_disapproves_of_satanism_tooltip;You've not spoken out against devil or demon worship to a society member.;;;;;;;;;;;;;x
dw_disapproves_of_the_wizards_tooltip;You've not spoken out against the Wizards College to a society member.;;;;;;;;;;;;;x
dw_lilith_temple_quest_completion;You should receive a building, and society favor based on your choices/n Potentially favor from Lilith herself as well based on quality.;;;;;;;;;;;;;x
dw_chosen_recruit_block_tooltip;Attempt to recruit into the Chosen of Lilith hasn't happened before.;;;;;;;;;;;;;x
dw_arcane_college_recruit_block_tooltip;Attempt to recruit into the Arcane College hasn't happened before.;;;;;;;;;;;;;x
dw_blood_cost_tooltip;This option will burn some of your health away in order to activate it.;;;;;;;;;;;;;x
dw_abort_action_tooltip;Aborts your current action.;;;;;;;;;;;;;x
dw_werewolf_blood_potion_tooltip;Target a werekin to give them the potion and make them a pureblood.;;;;;;;;;;;;;x
dw_80_percent_tooltip;Your chosen action has an 80% chance for success.;;;;;;;;;;;;;x
dw_50_percent_tooltip;Your chosen action has an 50% chance for success.;;;;;;;;;;;;;x
dw_pregnancy_check_tooltip;Causes a pregnancy check;;;;;;;;;;;;;x
dw_may_repeat_in_the_future;Choosing this will pass on the event, although it may happen again in the future.;;;;;;;;;;;;;x
