#CODE;ENGLISH;;;;;;;;;;;;;x
# Tooltips related to Decisions
dw_visit_recovery;30-day Visit Recovery;;;;;;;;;;;;;x
dw_30_day_cooldown;30 day cooldown;;;;;;;;;;;;;x
dw_90_day_cooldown;90 day cooldown;;;;;;;;;;;;;x
dw_180_day_cooldown;180 day cooldown;;;;;;;;;;;;;x
dw_fasting_tooltip;Not Fasting;;;;;;;;;;;;;x
# Decisions
dw_motivate_chancellor_claim;Motivate Chancellor;;;;;;;;;;;;;x
dw_motivate_chancellor_claim_desc;Your Chancellor is presently working to fabricate a claim in your name. Selecting this will call them to you, so that you may attempt to push for success in their work.;;;;;;;;;;;;;x
dw_resign_title;Resign as ruler;;;;;;;;;;;;;x
dw_resign_title_desc;Abdicate your position to your current heir.;;;;;;;;;;;;;x
dw_hire_jester;Hire a Court Jester;;;;;;;;;;;;;x
dw_hire_jester_desc;You place a want add for a Court Jester, who shall respond?;;;;;;;;;;;;;x
dw_go_shopping;Go Shopping;;;;;;;;;;;;;x
dw_go_shopping_desc;You have one or more locations in your realm where you can go shopping.;;;;;;;;;;;;;x
dw_visit_wizard_tower;Visit the Wizard Tower;;;;;;;;;;;;;x
dw_visit_wizard_tower_desc;Will the arcane arts raise you to new levels, or result in your downfall?;;;;;;;;;;;;;x
dw_keep_slave;Keep Slave;;;;;;;;;;;;;x
dw_keep_slave_desc;Keeping a slave removes them from your prison and adds them to your court proper. They're still a branded slave, and as such you can later sell them if you so choose.;;;;;;;;;;;;;x
dw_sell_slave;Sell Slave;;;;;;;;;;;;;x
dw_sell_slave_desc;Once a slave has been branded, you're now able to sell them. The value of a sold slave is determined by the training that they completed, as well as some other potential desirable traits.;;;;;;;;;;;;;x
dw_brand_slave;Brand Slave;;;;;;;;;;;;;x
dw_brand_slave_desc;Branding a slave indicates that they've been successfully trained in at least one category, and are now eligible for additional decisions, such as adding them to your own court or selling them.;;;;;;;;;;;;;x
dw_select_slave_training;Select Slave Training;;;;;;;;;;;;;x
dw_select_slave_training_desc;Opens an event where you may select the desired training category for the slave.;;;;;;;;;;;;;x
dw_enslave_prisoner;Enslave Prisoner;;;;;;;;;;;;;x
dw_enslave_prisoner_desc;Your prisoners are at your mercy. Enslaving them is an option that is available to you.;;;;;;;;;;;;;x
dw_visit_brothel;Visit a Brothel;;;;;;;;;;;;;x
dw_visit_brothel_desc;Obtain the services of a woman or man who provides 'morale boosting' services.;;;;;;;;;;;;;x
dw_work_whore;Work in a Brothel;;;;;;;;;;;;;x
dw_work_whore_desc;Make some money and potentially have fun while doing it. Win-win.;;;;;;;;;;;;;x
dw_collect_slave_whore_payment;Collect whore earnings;;;;;;;;;;;;;x
dw_collect_slave_whore_payment_desc;Your slave works as a whore, and as such has the opportunity to make money. Since a slave has no need for personal possessions, as they're your property, you can collect what money they've earned.;;;;;;;;;;;;;x
dw_visit_mage_sorcey;Consult with Sorcey;;;;;;;;;;;;;x
dw_visit_mage_sorcey_desc;Some mages can provide useful services to their liege when consulted with. \n  Many services require the mage to gather energies to perform a task. The energy available is pulled from the liege's resources, either piety, prestige, or wealth, and some may result in negative values.;;;;;;;;;;;;;x
dw_spell_frog;Turn into a Frog;;;;;;;;;;;;;x
