#CODE;ENGLISH;;;;;;;;;;;;;x
### Related to Shopping
dw_miniskirt;Miniskirt;;;;;;;;;;;;;x
dw_revealing_dress;Revealing Dress;;;;;;;;;;;;;x
dw_lingerie;Lingerie;;;;;;;;;;;;;x
dw_chainbikini;Chain Bikini;;;;;;;;;;;;;x
dw_griffonarmor;Griffon Armor;;;;;;;;;;;;;x
dw_ladywarrior;Lady Warrior;;;;;;;;;;;;;x
dw_tankarmor;Tank Armor;;;;;;;;;;;;;x
dw_golden_doublet;Golden Doublet;;;;;;;;;;;;;x
dw_pet_guard_dog;Guard Dog;;;;;;;;;;;;;x
dw_death_note;Reaper's Mark;;;;;;;;;;;;;x
dw_binding_mark;Binding Mark;;;;;;;;;;;;;x
dw_fairy_play_cooldown;Fairy Play Cool Down;;;;;;;;;;;;;x
dw_fairy_vine_garden;Fairy Vine Garden;;;;;;;;;;;;;x
dw_fairy_flower_garden;Fairy Flower Garden;;;;;;;;;;;;;x
dw_fairy_nectar_intoxication;Fairy Nectar Intoxication;;;;;;;;;;;;;x
dw_comfortable_footwear;Comfortable Footwear;;;;;;;;;;;;;x
dw_lucky_charm;Lucky Charm;;;;;;;;;;;;;x
dw_aphrodites_curse;Aphrodite's Curse;;;;;;;;;;;;;x
dw_silver_tongue_potion;Silver Tongue;;;;;;;;;;;;;x
dw_werewolf_blood_potion;Werewolf Blood Potion;;;;;;;;;;;;;x
### Lilith Related
dw_holding_lilith_blood_ritual;Holding Blood Moon Ritual;;;;;;;;;;;;;x
dw_held_lilith_blood_moon;Held Blood Moon Ritual;;;;;;;;;;;;;x
dw_lilith_peasant_sacrifice;Blood Moon Peasant Sacrifice;;;;;;;;;;;;;x
dw_lilith_stage_1;Succubus Evolution: Seductress;;;;;;;;;;;;;x
dw_lilith_stage_2;Succubus Evolution: Leech;;;;;;;;;;;;;x
dw_lilith_stage_3;Succubus Evolution: Monster;;;;;;;;;;;;;x
dw_lilith_stage_4;Succubus Evolution: Corrupter;;;;;;;;;;;;;x
dw_lilith_stage_5;Succubus Evolution: Demoness;;;;;;;;;;;;;x
dw_incubus_stage_1;Incubus Evolution: Seducer;;;;;;;;;;;;;x
dw_incubus_stage_2;Incubus Evolution: Leech;;;;;;;;;;;;;x
dw_incubus_stage_3;Incubus Evolution: Monster;;;;;;;;;;;;;x
dw_incubus_stage_4;Incubus Evolution: Illusionist;;;;;;;;;;;;;x
dw_incubus_stage_5;Incubus Evolution: Nightmare;;;;;;;;;;;;;x
dw_lovers_embrace_cooldown;Lover's Embrace Cool Down;;;;;;;;;;;;;x
### Spells Related
dw_spell_frog_target;Spell: Turn into a Frog;;;;;;;;;;;;;x
### Economic Action related
dw_trendsetter;Trend Setter;;;;;;;;;;;;;x
dw_trend_opportunist;Opportunistic Trend Setter;;;;;;;;;;;;;x
dw_trend_opportunist_major;Major Trend Setter;;;;;;;;;;;;;x
dw_trend_opportunist_mogul;Master Trend Setter;;;;;;;;;;;;;x
dw_maximum_fortune;Fortune Blessing: Maximum;;;;;;;;;;;;;x
dw_moderate_fortune;Fortune Blessing: Good;;;;;;;;;;;;;x
dw_minor_fortune;Fortune Blessing: Minor;;;;;;;;;;;;;x
### Related the Brothel
dw_brothel_improvement_1;Bordello Improvement 1;;;;;;;;;;;;;x
dw_brothel_improvement_2;Bordello Improvement 2;;;;;;;;;;;;;x
dw_brothel_improvement_3;Bordello Improvement 3;;;;;;;;;;;;;x
dw_brothel_improvement_4;Bordello Improvement Complete;;;;;;;;;;;;;x
dw_brothel_royal_whore;Royal Whore;;;;;;;;;;;;;x
dw_brothel_futa_whore;Futa Whore;;;;;;;;;;;;;x
dw_brothel_monk_wine;Monk Wine Investment;;;;;;;;;;;;;x
