#CODE;ENGLISH;;;;;;;;;;;;;x
#Event Titles
dw_exotic_merchant;Exotic Merchant;;;;;;;;;;;;;x
dw_caravan_madame;Caravan Madame;;;;;;;;;;;;;x
dw_futa_focus_diplomacy;Diplomacy Focused Futa;;;;;;;;;;;;;x
dw_futa_focus_intrigue;Intrigue Focused Futa;;;;;;;;;;;;;x
dw_futa_focus_stewardship;Stewardship Focused Futa;;;;;;;;;;;;;x
dw_futa_focus_martial;Martial Focused Futa;;;;;;;;;;;;;x
dw_futa_focus_learning;Spiritual Focused Futa;;;;;;;;;;;;;x
dw_futa_special_mey;Special Futa Mey;;;;;;;;;;;;;x
dw_futa_bonus_trait_title;Bonus Trait: Futa;;;;;;;;;;;;;x
dw_trap_bonus_trait_title;Bonus Trait: Trap;;;;;;;;;;;;;x
#Decisions
dw_visit_mey;Spend time with Mey;;;;;;;;;;;;;x
dw_visit_mey_desc;This is a customized 'Spend time with' decision that has special events for the player and Mey.;;;;;;;;;;;;;x
#Custom tooltips
dw_no_futa_for_you;Selecting this ends the merchant event and he departs without leaving you a gift.;;;;;;;;;;;;;x
#Event Descriptions
DWFuta100;I am informed by a courtier that a merchant and his caravan have arrived, and that he's requested an audience with me. Shortly after agreeing, the merchant is brought to me. \n  "[Root.GetTitledFirstName], I humbly request the opportunity for my caravan to recover and perhaps do some business before we continue onto our destination. My beasts are weary from the travels and would benefit from a few nights of rest." \n  I inquire as to the goods his caravan deals in and he informs me that he specializes in exotic services and items. And that he'll make available what items that he can, for my people to peruse. And should something catch my eye, that he'd be willing to make a deal should I extend the offer of hospitality. \n  I consider it for a few moments and then respond.;;;;;;;;;;;;;x
DWFuta100A;Please do stay and refresh your beasts.;;;;;;;;;;;;;x
DWFuta100B;Move along. I've not the room for you.;;;;;;;;;;;;;x
