#CODE;ENGLISH;;;;;;;;;;;;;x
# Events
dw_hvevents03;A named NPC from the Heroes and Villains mod has died.\n  If it is someone you recruited, you should be able to now recruit a replacement.;;;;;;;;;;;;;x
dw_hvevents03a;Understood.;;;;;;;;;;;;;x
dw_hvevents10;The world is entering an age of extremes. A complacent middle ground is beginning to vanish, leaving two extremes.\n  On one extreme, you've individuals who have decided that they shall achieve what they wish using any means necessary. Be it monetary greed, a simple lust for power, or something more complex. These individuals are recognized as Villains.\n  Then you've those who've risen in opposition. These Heroes are typically known for their fairness, the value of their word, and commonly serve as protectors.\n  With the world already filled with conflict, will these individuals cause the fall of humanity, or shall they prevent it?;;;;;;;;;;;;;x
dw_hvevents10a;Become a hero;;;;;;;;;;;;;x
dw_hvevents10b;Become a villain;;;;;;;;;;;;;x
dw_hvevents10c;I shall avoid choosing sides for now.;;;;;;;;;;;;;x
dw_hvevents20;I invoke the hidden powers that shape this world! Heed my call and shape thine destiny as I dictate!\n\n  Respawn: When a non-generic NPC made by this game dies, certain flags get cleared that allow the method used to get them previously, to happen again. Allowing recruited characters to be recruited again, and those who came via events to potentially be found through those events again.\n  This is on by default. Turning Respawn off, means that once a non-generic NPC dies, they're gone for good. Once off, anyone who dies is still lost forever. Turning it back on is NOT retroactive, so prior dead are still gone. Turning it back on, only provides respawn capability for those still alive or as of yet unobtained.\n\n  Bestiality is turned OFF by default. Turning it on, means those events may trigger. With it off, they won't. Note - this trigger is for this mod's content only. It doesn't stop another mod with such content from activating.;;;;;;;;;;;;;x
dw_hvevents20a;Turn OFF respawn;;;;;;;;;;;;;x
dw_hvevents20b;Turn respawn back ON;;;;;;;;;;;;;x
dw_hvevents20c;Turn ON bestiality;;;;;;;;;;;;;x
dw_hvevents20d;Turn OFF bestiality;;;;;;;;;;;;;x
dw_hvevents20e;More settings.;;;;;;;;;;;;;x
dw_hvevents20f;All done (Exit).;;;;;;;;;;;;;x
dw_hvevents21;Symbiotes and/or Tentacle-kin are ON by default. If you don't want parasitic, corruptive entities spreading themselves among mankind, then turn it off. Or, if you turned it off, you can turn it back on to enable the spread once more. If you already have them running amok in your game world, and you want to switch it off, just give it a little time. If turned off, a decision will become available for any characters with the trait, and they'll remove it themselves. It's like you're a super mage of some kind that just purged the world of this disease!\n\n  Therianthropes are also ON by default. What's a Therianthrope? Well, it's a human with some animal spirit blood in them. Those who embrace this side of themselves can take an animal like form.  A werewolf is a type of therianthrope. If you have this set to off, some heroes or villains may be excluded (for example, Beast Boy).;;;;;;;;;;;;;x
dw_hvevents21a;Turn Symbiotes/Tentacle-Kin OFF.;;;;;;;;;;;;;x
dw_hvevents21b;Turn Symbiotes/Tentacle-Kin ON.;;;;;;;;;;;;;x
dw_hvevents21c;Turn Therianthropes OFF.;;;;;;;;;;;;;x
dw_hvevents21d;Turn Therianthropes ON.;;;;;;;;;;;;;x
dw_hvevents22;Demon-kin are ON by default. Turning this off may disable some heroes or villains (for example: Raven)\n\n  This mod has Wizard Towers you can build. So does Dark World Fantasy. I've got specific functionality tied to mine, and what I created in Dark World has been expanded upon from what I understand. If you don't want to see this mod's Wizard Towers - and you don't care about the functionality they add, then you can turn them off as Wizard Towers are ON by default.\n\n  There are no other potential settings at this time, although more may come in the future.;;;;;;;;;;;;;x
dw_hvevents22a;Turn Demon-Kin OFF.;;;;;;;;;;;;;x
dw_hvevents22b;Turn Demon-Kin ON.;;;;;;;;;;;;;x
dw_hvevents22c;Turn Wizard Towers OFF.;;;;;;;;;;;;;x
dw_hvevents22d;Turn Wizard Towers ON.;;;;;;;;;;;;;x
dw_hvevents101;It has been brought to my attention that Harley Quinn has managed to get herself imprisoned.\n  Foolish woman. Now I'm left having to make a decision as to whether she is worth freeing or not.;;;;;;;;;;;;;;x
dw_hvevents101a;Gee, that's too bad.;;;;;;;;;;;;;;x
dw_hvevents101b;I shall buy her release.;;;;;;;;;;;;;;x
dw_hvevents101c;Plan a prison breakout.;;;;;;;;;;;;;;x
dw_hvevents102;The plan moved along quickly, and before I knew it, we were at the outer wall of the dungeon. The casks of decomposing manure were rolled up against the wall, the methane leaking out from the cracks of the cask.\n  A wild grin flashed across Harley's eyes as she watched us clear the way and pull out a torch. I had to remind her the importance of getting back, which for a moment I thought she may ignore. But then with a yelp of excitement she scrabbled out of view.\n The torch was lite and thrown, and in a flash, the barrels erupted. Chunks of dungeon wall went flying, and the cry of alarm went up. Harley stumbled out of the smoke and debris, switching between coughs and laughs. I grabbed her hand and led her to the horses nearby. As the first guards came into view, we were mounted and galloping away.\n  "BOOM! Hahahahaha. Oh, my ears are ringing! Hey my [ROOT.GetLordLady]! We might have to do that again sometime. We'd just need to find one with better food though."\n As we rode off, I found myself weighing the odds of her getting caught on purpose. When I looked over at her again, she met my gaze and gave me a wide smile, as though she knew what I was thinking about. With a chuckle, I spurred the horse faster to hasten our getaway.;;;;;;;;;;;;;;x
dw_hvevents102a;FREEDOM!!!;;;;;;;;;;;;;;x
dw_hvevents103;It has been brought to my attention that Starfire has somehow been subdued and imprisoned.\n  An unfortunate turn of events. Now I'm left having to make a decision as to whether she is worth freeing or not.;;;;;;;;;;;;;;x
dw_hvevents103a;Gee, that's too bad.;;;;;;;;;;;;;;x
dw_hvevents103b;I shall buy her release.;;;;;;;;;;;;;;x
dw_hvevents200;I'm sitting in my cell, reflecting on the chain of events that have ended with me being here in prison. The sound of my cell door unlocking pulls me from my thoughts.\n  In walks [dw_prison_host.GetBestName], the person who has me imprisoned. [dw_prison_host.GetSheHeCap] has a disturbing smile and look in their eyes.\n  "I realize that I'm not an ideal host for one as prestigious as you [ROOT.GetFirstName]. As your host, I should see that you're entertained properly. Of course, the big question, is what kid of entertainment would be best? Sure, there's one sided things like torture, but that'd be selfish. Hrm, I know, how about something a little more carnal in nature? Doesn't that sound like some good fun?"\n  [dw_prison_host.GetFirstName] seems delighted at the prospect, and something inside me seems to scream out in warning.;;;;;;;;;;;;;;x
dw_hvevents200a;I brace for the worst.;;;;;;;;;;;;;;x
dw_hvevents200b;Let me buy my freedom.;;;;;;;;;;;;;;x
