#CODE;ENGLISH;;;;;;;;;;;;;x
#Event Titles
dw_fenris_rises;Bad Moon Rising;;;;;;;;;;;;;x
dw_fenris_prison_break;Fenris Unbound;;;;;;;;;;;;;x
dw_fenris_dominates;Dominated by Fenris;;;;;;;;;;;;;x
dw_vladimir_prison_break;Vladimir Unchained;;;;;;;;;;;;;x
dw_vladimir_rises;Red Moon Rising;;;;;;;;;;;;;x
dw_rise_pack_title;Rise of the Pack;;;;;;;;;;;;;x
dw_dominated_start_title;Werewolf Domination;;;;;;;;;;;;;x
dw_vampire_start_title;Bitten and Awoken;;;;;;;;;;;;;x
dw_bloodrayne_hunter_title;Enter Bloodrayne;;;;;;;;;;;;;x
dw_hunted_by_vampire_title;Hunted;;;;;;;;;;;;;x
dw_vampire_seduction_title;The Seduction;;;;;;;;;;;;;x
dw_feast_title;A Feast;;;;;;;;;;;;;x
dw_the_visitor_title;The Visitor;;;;;;;;;;;;;x
dw_thrall_feeding_title;Thrall Feeding;;;;;;;;;;;;;x
dw_vampire_feeding_title;Vampire Feeding;;;;;;;;;;;;;x
dw_vampire_thrall_title;Making a Thrall;;;;;;;;;;;;;x
dw_the_vampire_title;The Vampire;;;;;;;;;;;;;x
dw_vampirella_title;Vampirella;;;;;;;;;;;;;x
dw_vampire_hunt_title;The Hunt;;;;;;;;;;;;;x
dw_diablerie_study_title;Diablerie;;;;;;;;;;;;;x
# Tooltips
dw_high_stress_chance;A high chance to become stressed.;;;;;;;;;;;;;x
dw_low_stress_chance;A low chance to become stressed.;;;;;;;;;;;;;x
#Event Descriptions
DWNight1009;Word has come to me of a bloody coup that has taken place, with a new person in power. In hearing what took place, I can only wonder what plans [From.GetBestName] may have in store for his neighbors.;;;;;;;;;;;;;x
DWNight1009A;What an interesting development.;;;;;;;;;;;;;x
DWNight1008;I've been notified that despite our attempts at preventing Fenris's escape, that he has managed to pull it off. I can only imagine what news of Fenris the coming days will bring.;;;;;;;;;;;;;x
DWNight1008A;This is not good news.;;;;;;;;;;;;;x
DWNight1006;We have successfully re-captured Fenris. The fool actually thought he may escape. It is in his best interest to not press his luck again with such an ill advised action.;;;;;;;;;;;;;x
DWNight1006A;No one escapes my prison.;;;;;;;;;;;;;x
DWNight1007;I'm startled by a loud bang and the sound of yelling. Running to a nearby window, I see Fenris fleeing from a smouldering hole in the wall of my prison. \n  He's moving quickly, and so far people are just staring at him slack jawed as he is fleeing.;;;;;;;;;;;;;x
DWNight1007A;Let him go. He isn't worth the headache.;;;;;;;;;;;;;x
DWNight1007B;Guards, guards! Stop him!;;;;;;;;;;;;;x
DWNight1007C;Commander [dw_commander.GetFirstName], stop him!;;;;;;;;;;;;;x
DWNight1110;This was released ahead of planned. You've been dominated by Fenris. He's made you his bitch, stuffing his engorged cock into me and railing away until fill me with an explosion of thick, gooey cum.;;;;;;;;;;;;;x
DWNight1110A;Oh shit! I'm a bitch and may be pregnant!;;;;;;;;;;;;;x
DWNight2009;Word has come to me of a bloody coup that has taken place, with a new person in power. In hearing what took place, I can only wonder what plans [From.GetBestName] may have in store for his neighbors.;;;;;;;;;;;;;x
DWNight2009A;What an interesting development.;;;;;;;;;;;;;x
DWNight2007;I'm awoken by the Captain of the Guard. There has apparently been a prison break. The details are so ludicrous that I have him repeat them twice. \n  A guard was found bled dry, withered, as though he had been dead for weeks. While no one say a person escape, it is said that a cloud of bats fled the prison. And while I then suspected the worse, it was confirmed when it was shared that my prisoner, Vladimir was no where to be found.;;;;;;;;;;;;;x
DWNight2007A;He turned into a cloud of bats? Seriously?;;;;;;;;;;;;;x
DWNight10;Fenris stands before me, his aura is over powering causing my gaze to naturally lower so as to not appear challenging. \n  "You have served me and your brethren well [Root.GetFirstName]. I've challenged you to be the vanguard of our people as we emerge from the wilds to take our place over mankind. And you've already made great strides as you've risen to rule over your own lands. In the coming years, I too shall claim my own lands. Then together, we shall oust mankind and rule over them as their betters." \n  I feel my blood pound with joy at being recognized by Fenris. It is our time to rise. Mankind, vampires, and those who thought they chased us to the wilds shall now see our might. \n  Fenris says I shall hear from him again in the coming years, and that I'm to continue to grow in power in the meantime.;;;;;;;;;;;;;x
DWNight10A;I am honored to be the vanguard of our people.;;;;;;;;;;;;;x
DWNight21;There was a new man who visited my court this week. Something about him demanded attention. When he offered to discuss matters of the realm, I could only agree. \n  What followed seems like a hazy blur. When we met, I saw not the burly man, but a large imposing werewolf before me. Somehow, I knew I was seeing his true form. Part of my mind screamed to resist, yet there was something in the air that locked me in place. \n  I expected to die right then and there. To be torn limb from limb and consumed. The werewolf grabbed me and tore at me with his claws, rending not flesh, but instead my clothing. \n  I was tossed to the ground, and as I looked up, it's member grew stiff before me. It was difficult to breath, and that unidentifiable scent grew stronger. \n  I was shown my place. I'm the lesser, an omega male.;;;;;;;;;;;;;x
DWNight21A;I have accepted my role and shall strive to serve my masters.;;;;;;;;;;;;;x
DWNight21B;Oh shit, this isn't what I wanted. No, no, no, no.;;;;;;;;;;;;;x
DWNight25;There was a new man who visited my court this week. Something about him demanded attention. When he offered to discuss matters of the realm, I could only agree. \n  What followed seems like a hazy blur. When we met, I saw not the burly man, but a large imposing werewolf before me. Somehow, I knew I was seeing his true form, bold and masculine. A scent in the air seemed to make my knees weak, and I dropped to my knees as my breathing became ragged. \n  "What a good little bitch you are," said the werewolf as a large canine cock stiffened before me. I felt my mouth water, as he stepped closer. \n  I looked up into his fierce eyes and waited. After what seemed like an eternity, he nodded and I touched his shaft. It was warm, firm, and I soon found my lips wrapped around it...;;;;;;;;;;;;;x
DWNight25A;I have accepted my role and shall strive to serve my masters.;;;;;;;;;;;;;x
DWNight25B;Oh shit, this isn't what I wanted. No, no, no, no.;;;;;;;;;;;;;x
DWNight30;The shock of my incident has come to pass. I know not who my aggressor was, but judging by my current state, it must have been a vampire. Most confusing was why didn't I perish? \n  Do all that are drained rise as vampires? I've heard whispers that it's instead some kind of ritual, one which usually binds the victim to their creator. If this is the case, why do I not feel these bindings? Why has the one who turned me disappeared? \n  For several weeks I've pondered these questions while adapting and resuming my duties as a ruler. I must be careful. It's as though some can sense what I've become, and I've no desire to be taken by a monster hunter. For I am no monster. I am still myself, and I shall continue to rule while I adapt to this new life before me.;;;;;;;;;;;;;x
DWNight30A;With no master or teacher, my destiny is mine to shape.;;;;;;;;;;;;;x
DWNight4000.0;I return to my chambers after a long day in court. Upon entering I find Rayne, blood dribbling down her chin, where it further drips upon her cleavage. There is blood sprayed all around my room, with no clear source, save a blackened husk that lays not far from her feet.\n  "Looks like someone was hoping to make a meal of you my [Root.GetLordLady]. I thought I picked up an unnatural scent, and I followed it here, where you had a visitor lurking in the shadows. Alas, they weren't expecting me."\n  I choke down urge to heave, and I wonder if it's from the sight of so much blood sprayed about my room or from watching Rayne smirk as she drinks from a cup that's filled with it.  I lean out of the door, calling for a servant to clean up the mess.\n  Turning back to Rayne, I ask if it's a vampire that she's familiar with, or if this is the sign of something more? With a sigh of disappointment, she shares that it didn't match the description of one she's hunting. It could be a progeny of one, but it wasn't willing to answer her questions. As far as being part of something larger, she's uncertain.\n  I hear the servant gasp behind me as they reach my doorway. Rayne smiles and slips out while I give the servant instructions on what I want cleaned up.;;;;;;;;;;;;;x
DWNight4000.1;I return to my chambers after a long day in court. I grumble in annoyance at the lack of light, assuming that my servants are lacking in a simple responsibility of ensuring my chambers are properly lit.\n  I move to light a candle, when I feel a breeze, and the hairs on the back of my neck raise in warning. I turn towards the window, and I see a creature in the shadows. It's skin is sickly grey, with pupiless eyes that seem to reflect the light of the single candle flame that fights on. I feel it's will, demanding that I stay put as I see it emerge from the shadows, it's mouth, opening to display a row of distorted teeth, with hideously enlarged canines. I hear the blood in my body roar to life, and I take an audible breath, only then realizing that I wasn't breathing as it began to step towards me.\n  This creature is obviously a vampire, one which is here for me. I feel my adrenaline snapping whatever power it was using to try and hold me in place. The only question now, is how do I respond?;;;;;;;;;;;;;x
DWNight4000A;I'm grateful Rayne was here.;;;;;;;;;;;;;x
DWNight4000B;I shall fight the creature.;;;;;;;;;;;;;x
DWNight4000C;I shall run from the creature.;;;;;;;;;;;;;x
DWNight4000D;I shall submit to the creature.;;;;;;;;;;;;;x
DWNight4001.0;We continue to battle, each seeking to finish the other as our strikes just as intent as before, yet our ability to avoid getting hit is gone.\n  Grappling, we both muster the strength to press on, to land another blow. I try to growl in victory as I feel my strike land successfully, only to find myself gasping for air as my I myself am mortally wounded.\n  We both collapse. I flounder as I seek to somehow address my wound. Only to realize it's futile. I hear an odd crackling sound, and turn to see the vampire's flesh begin to fall to ash, leaving only bones behind. I'm about to die, yet at least I took that creature out with me. May those I've saved from its clutches bode well upon my final judgement.;;;;;;;;;;;;;x
DWNight4001.1;I go to move, and my legs don't appear to get the message as I do little more than stumble. I will my legs to move as I try to catch my balance. The wounds I've taken is taking its toll and just when I think I've recovered, I feel it slam into me, taking me to the ground.\n  I try to roll with the tackle, seeking to get it off of me. I'm unsuccessful as it's grip appears to tighten and further limit my struggles.\n  I can smell the rotten stentch of its breath, feel it against the back of my neck. I want to scream, yet my lungs strain to breath. I don't want to die. Not like this.\n  Tears begin to whelm up in my eyes as I burn what strength I've left as I flail to try and get free. As if it senses I'm spent, I feel it's teeth as it bites down on me, and my world fades to black.;;;;;;;;;;;;;x
DWNight4001.2;Its movements have become sluggish. I sense an opening and I leap forward to strike. It hisses and seeks to recoil, yet finds its path blocked as it's cornered. I score a successful hit, sinking deep and the vampires eyes widen in surprise.\n  I don't relent, slamming my weight upon it to keep it pinned as I strike again, and again, and again.\n  I'm breathing hard, and it's difficult to move my arm any longer. It's then that I notice the vampire is limp, held up only by my body pressing against it. I stumble a bit as I step back and straighten up. Immediately, the creature crumples in a heap upon the ground. As I watch, it begins to smoke slightly as its flesh rots away into ash. Soon, leaving only bones and tattered clothing behind.\n  With a sigh, I collapse into a chair, calming myself before calling out to a servant. I'm going to need a drink.;;;;;;;;;;;;;x
DWNight4001.3;The vampire leaps at me, it's clawed hands reaching for me as it hisses. I barely get out of the way of its inhuman speed as it rakes me with its claws. I lash out myself, striking it's exposed side.\n  The creature howls with rage and with both exchange a flurry of strikes, with none doing any more additional damage than flesh woulds before we once again separate and circle each other.\n My damage taken [first_fighter.first_combat_damage.GetValue].\n Vampire's damage taken [second_fighter.second_combat_damage.GetValue].;;;;;;;;;;;;;x
DWNight4001.4;The vampire moves with an unnatural grace as it circles me. I move to put a piece of furniture between us, looking for means of getting in my own strike. The vampire doesn't give me the time to evaluate it.\n  With inhuman speed, it dashes towards me, moving around the obstacle between us in the blink of an eye. I try to deflect the blow, yet am unsuccessful as it's claws cut deeply into me. I stagger a bit and lash out, yet it's already gone.\n  It's hideous face seems to grin mockingly at me, as it once again resumes circling me.\n My damage taken [first_fighter.first_combat_damage.GetValue].\n Vampire's damage taken [second_fighter.second_combat_damage.GetValue].;;;;;;;;;;;;;x
DWNight4001.5;We move around, seeking an opening to strike out each other. The creature before me hissing and darting forward periodically with a probing slash.\n  I take a smaller step, letting the distance between us close just a bit more. The creature takes the bait as it lunges and swipes at me again. I lean back just slightly, it's strike falling just short of the mark. I then lunge forward myself and strike. I feel the blow hit soundly, and the vampire hisses and leaps back to put distance between us once again.\n  My damage taken [first_fighter.first_combat_damage.GetValue].\n Vampire's damage taken [second_fighter.second_combat_damage.GetValue].;;;;;;;;;;;;;x
DWNight4001.9;This description would ideally not be seen. If it is, a description flag failed somewhere. Regardless, you're still in the thick of things, and the fight continues.\n My damage taken [first_fighter.first_combat_damage.GetValue].\n Vampire's damage taken [second_fighter.second_combat_damage.GetValue].;;;;;;;;;;;;;x
DWNight4001A;The fight continues.;;;;;;;;;;;;;x
DWNight4001B;Fatality!;;;;;;;;;;;;;x
DWNight4001C;I'm victorious.;;;;;;;;;;;;;x
DWNight4001D;At least I took it with me.;;;;;;;;;;;;;x
DWNight4003.0;I waste no time and dart towards the door. I see it move inhumanly fast towards me, yet I dare not look its way, instead I will myself forward.\n  I reach the door, just a moment before it, where I feel it's claws try to snag my clothing. I turn into the corridor, pushing myself forward, calling for the guards as I seek to escape my attacker.\n  As I reach the end of the hall, I hear guards running towards me. I take a moment to glance back and I see the vampire stop and hesitate a moment. It hisses and I continue on towards the guards. While it looked like the creature was ready to leave, I see no reason to risk it with help so close by.\n  Upon reaching the guards, I quickly explain what I saw, and I follow them back to my room. The creature appears to be gone, with no sign of the intruder, save the open window and claw marks which slashed across a painting that hung beside the window.\n  I have extra guards posted nearby as I retire for the evening.;;;;;;;;;;;;;x
DWNight4003A;Where did the creature go to?;;;;;;;;;;;;;x
DWNight4004.0;I dart towards the door, intent on getting away. I notice movement out of the corner of my eye and I steal a glance at it. I come to a halt and back pedal as it reaches the doorway before me. It moves towards me, it's inhuman eyes locked on mine.\n  I consider calling for help, yet seem unable to find my voice as it gets closer. My options are disappearing before me, and my time on this Earth is nearing an end. What shall I do?;;;;;;;;;;;;;x
DWNight4004A;Fight;;;;;;;;;;;;;x
DWNight4004B;Submit;;;;;;;;;;;;;x
DWNight4005.0;I don't desire the pain that would come from fleeing or fighting such a creature. I close my eyes and turn my head as I await the inevitable.\n  It's only a breath before I feel it's grip pull me from my feet. It pulls me and brings me down onto a couch with blinding speed. The force causes my breath to be knocked from my lungs. My eyes open, fear likely obvious as I gaze upon the pale mottled skin of my assailant.\n  As my lungs convulse to try and regain air, it turns my head and holds it firm. I can hear it hiss as it strikes. My neck is pierced, and I find my lungs no longer ache to take a breath. My eyes grow heavy as I can only hear the sickly wet sounds of the beast feeding upon me.\n  My eyes close, and soon even my hearing begins to fade.;;;;;;;;;;;;;x
DWNight4005A;I slip into darkness.;;;;;;;;;;;;;x
DWNight4006.0;My eyes snap open as the sound of a morning bird seems to echo through my room. I quickly shield them from the intense light that is coming in through a window. I stumble from the couch, sliding across the floor over into a corner of my room that still holds a shadow.\n  As I sit there, the overwhelming sensations begin to lessen. The songbird isn't as loud and sunlight itself is no longer blinding. I close my eyes and enjoy the cool corner as I wonder just how strong my hangover will be today.\n  With a sudden realization, I recall the events from last evening. The creature that stood before me, succumbing to the inevitable, the sickly sound of the creature feeding upon me...\n  I rub my neck, certainly it wasn't a dream. I'm covered with something. I scratch at what's on my neck and view my fingers to see flakes of dried blood upon them. I move over to the mirror, and gaze at my reflection. I've healed somehow, small dimpled scars all that remain of the wound. I lean forward to get a closer look, and only then notice I can see through myself while gazing in the mirror. As though my image has faded.\n  I'm alive somehow. Yet I must be careful. I must get cleaned and let no one know of what has happened to me, for I can feel that I've changed.;;;;;;;;;;;;;x
DWNight4006A;I have become one of them.;;;;;;;;;;;;;x
DWNight4100.0;I'm walking through the hallway, when [dw_vampire_seducer.GetFirstName] steps out before me.\n  "Good evening my [Root.GetLordLady]. I am so glad that we've crossed paths this evening. I find you very intriguing, and have been hoping for the opportunity to spend some time together. Would you care to join me for a while?"\n  [dw_vampire_seducer.GetFirstName] steps forward and traces her fingers down along one of my arms, all while staring into my eyes. I feel my pulse quicken, and clear my throat as I seek to give her invitation a response. Her red lips smile warmly, and her eyes almost appear to draw me in further. Finally finding my voice, I give my response.;;;;;;;;;;;;;x
DWNight4100.1;I'm walking through the hallway, when [dw_vampire_seducer.GetFirstName] steps out before me.\n  "Good evening my [Root.GetLordLady]. I am so glad that we've crossed paths tonight. I must say that you are very intriguing, and I have been hoping for the opportunity to spend some time together. Would you care to join me for a while?"\n  [dw_vampire_seducer.GetFirstName] steps forward and traces his back of his fingers alongside my jaw, all while staring into my eyes. I feel my pulse quicken, and clear my throat as I seek to give his invitation a response. The pupils in his eyes appear to enlarge, as if to draw me in further. Finally finding my voice, I give my response.;;;;;;;;;;;;;x
DWNight4100A;Sure, I've got time.;;;;;;;;;;;;;x
DWNight4100B;Sorry, now isn't a good time.;;;;;;;;;;;;;x
DWNight4100C;Sorry, I'm not homosexual.;;;;;;;;;;;;;x
DWNight4101.0;Something about [dw_vampire_seducer.GetFirstName]'s eyes just won't allow me to look away.\n  "That's it, look into my eyes. Feel yourself submit to my will."\n  What is this feeling? Why can't I look away? Why do I even want to look away? Isn't it better to listen to what [dw_vampire_seducer.GetFirstName] has to say?\n  "That's it. Relax. I just want to spend some time with you. That's not bad is it?"\n  Fingers brush across my cheek. I wonder, why would I be asked if it's bad. Of course it's not bad. Why would I think it's bad?\n  "Good, good. Come, let's relax in your study. Who knows, perhaps you're the kind of person that likes to experiment?"\n  Experiment. Yes, that sounds good. I feel [dw_vampire_seducer.GetFirstName]'s breath on my neck as they lean close while we head to the study.\n  "Yes, this is nice. Now relax [Root.GetFirstName]. Relax, listen, and give into my will. Once I'm done, and I leave, forget I was here with you and awaken."\n\n  I find myself staring at the ceiling, reclining in my study. I rub my eyes as I sit up and try to recall when I dozed off. It must have been after court. It was a long day today afterall.;;;;;;;;;;;;;x
DWNight4101A;I wonder if I'm getting sick?;;;;;;;;;;;;;x
DWNight4102.0;Something about [dw_vampire_seducer.GetFirstName]'s eyes just won't allow me to look away.\n  "That's it, look into my eyes. Feel yourself submit to my will."\n  What is this feeling? Why can't I look away? Why do I even want to look away? Isn't it better to listen to what [dw_vampire_seducer.GetFirstName] has to say?\n  "That's it. Relax. I just want to spend some time with you. That's not bad is it?"\n  Fingers brush across my cheek. I wonder, why would I be asked if it's bad. Of course it's not bad. Why would I think it's bad?\n  "Good, good. Come, let's relax in your study. We'll chat for a while and get to know each other better. There's no harm in that, right?"\n  A chat? Yes, that sounds good. I feel [dw_vampire_seducer.GetFirstName]'s breath on my neck as they lean close while we head to the study.\n  "Yes, this is nice. Now relax [Root.GetFirstName]. Relax, listen, and give into my will. Once I'm done, and I leave, forget I was here with you and awaken."\n\n  I find myself staring at the ceiling, reclining in my study. I rub my eyes as I sit up and try to recall when I dozed off. It must have been after court. It was a long day today afterall.;;;;;;;;;;;;;x
DWNight4102A;Perhaps I'm stressed?;;;;;;;;;;;;;x
DWNight4103.0;[dw_vampire_seducer.GetFirstName] seems to stare at me more intently, even taking another step towards me. I hold up a hand and exlaim again that I've not the time for them at the moment. I notice a range of emotions from surprise, to anger, and back to that odd leering look they initially had upon greeting me. I suddenly find their presence annoying, and I wave my hand dismissively towards them while instructing them to remove themselves from my path or else I'll have them removed with force.\n  [dw_vampire_seducer.GetFirstName]'s smile appears strained, yet they step aside and apologize before quickly moving away. I watch them for a few moments, and notice the that my blood is pumping, as though ready to fight. I turn and move along myself, somehow clearly knowing that our relationship shall be a contentious one.\n  With a sigh, I silently curse my day so far. I wasn't expecting to find a potential enemy at the end of the day, yet there is clearly something dangerous about them and I'll need to be wary.;;;;;;;;;;;;;x
DWNight4103A;May there be no more surprises.;;;;;;;;;;;;;x
DWNight4105.0;I bring [dw_vampire_seducer.GetFirstName] to my study, where we will have the opportunity to relax and talk without being interrupted. Our conversations are enjoyable. Or at least I feel happy in speaking with [dw_vampire_seducer.GetFirstName], as I don't recall much of our topics. I just recall [dw_vampire_seducer.GetFirstName]'s eyes, so deep and inviting. And their lips, they seem to be so vivid as and smooth as they speak.\n  "Hahaha. My [Root.GetLordLady], could I have some more wine?"\n  I shake my head as I realize I didn't hear the initial request. With a chuckle, I fill our glasses once again. I notice that we're on our second bottle. Obviously, my dulled awareness is due to having drunk so much. I hand the wine glass over, and sit down once more. Soon, the conversation resumes, and once again I seem to get lost in [dw_vampire_seducer.GetFirstName]'s features.\n  I come to my senses again as [dw_vampire_seducer.GetFirstName] touches my cheek.\n  "I've had a great time. Perhaps we can do this again some time."\n  [dw_vampire_seducer.GetFirstName]'s eyes are so close, their lips so near. It seems it's time to say goodnight. Or is it?;;;;;;;;;;;;;x
DWNight4105A;I enjoyed our time.;;;;;;;;;;;;;x
DWNight4105B;I lean in for a kiss.;;;;;;;;;;;;;x
DWNight4106.0;[dw_vampire_seducer.GetFirstName] accepts my kiss. Her lips are amazing, as I feel like I'm floating among the clouds. Our kiss breaks as she moves down my neck, kissing and licking as she peels my clothing from me. I'm in ecstasy and able to do little more than pant and steady myself as my legs appear ready to collapse.\n  She leads me over to a couch and lays me across it, my naked body fully exposed before her. She removes her clothing. It's mezmerising how it just seems to slide off her body, as if her skin were as smooth as silk.\n  I tremble as she leans against me, caressing my body with her own, using her hands to explore, while breathing, licking, and nibbling around my neck and shoulders. It's as though she's stimulating every part of me at once.\n  It's so intense that I'm unable to do more than pant as she turns from exploring my body, to sliding a pair of fingers into my wet cunny. I can only manage a short shrill sound as her fingers find my secret spot. She begins furiously pounding away with her fingers, striking it over and over, sending wave after electric wave through my body. Her breath is on my neck, her teeth nibble at my flesh. The feeling is too much as I climax hard, convulsing from head to toe as if possessed.\n  It's too much. She laughes, as I struggle to keep my eyes open. I feel my consciousness slipping. I struggle to get out one last phrase before I succumb.;;;;;;;;;;;;;x
DWNight4106.1;[dw_vampire_seducer.GetFirstName] accepts my kiss. Her lips are amazing, as I feel like I'm floating among the clouds. Our kiss breaks as she moves down my neck, kissing and licking as she peels my clothing from me. I'm in ecstasy and able to do little more than pant and steady myself as my legs appear ready to collapse.\n  I tremble as she touches my cock. Looking down, I gaze once more into her deep eyes. I cannot look away as takes my cock into her mouth. Her head bobs up and down on my cock, taking more and more in with each movement. Soon, she taking it all in, her eyes staring up at me the entire time.\n  My mind seems as though it's about to melt, for her gaze seems to not permit my release. My cock trembles and my balls ache, yet she continues to suck, lick, and stroke me. I plead for release, for her to give me what I need. I hear her then, even with my cock in her throat, it's as though her eyes communicate her thoughts to me. 'Cum'\n  I erupt in her mouth. I continue to cum, as she pulls my cock out, her eyes still locked on as she drinks it up as though a thirtsy man in a desert.\n  It's finally too much, as my knees give way. She laughes, as I struggle to keep my eyes open. I feel my consciousness slipping. I struggle to get out one last phrase before I succumb to sleep.;;;;;;;;;;;;;x
DWNight4106.2;[dw_vampire_seducer.GetFirstName] accepts my kiss. His lips are amazing, strong yet soft as I feel like I'm floating lazily along a stream. Our kiss breaks as he moves down my neck, kissing and licking as he peels my clothing from my body. I'm in ecstasy and able to do little more than pant and steady myself as my legs appear ready to collapse.\n  He pushes me back onto a couch, my naked body fully exposed before him. He removes his clothing. It's mezmerising how it just seems to slide off his body, as if his skin were as smooth as silk. His form is enticing, lean, strong, and I can tell he finds my body pleasing.\n  I tremble as he leans against me, using his hands to explore, while breathing, licking, and nibbling from my neck down to my pussy. It's as though he's stimulating every part of me at once.\n  It's so intense that I'm unable to do more than pant as he turns from exploring my body, to focusing his tongue between my cunny and my clit. He slides one of his firm fingers into my mouth, and I suckle it with hunger. I can only manage a short shrill sound as his fingers slip into me. He begins finger banging me while feverously flicking his tongue across my clit. The feeling is too much as I climax hard, convulsing from head to toe as the feeling washes over me.\n  It's too much. He laughes, as I struggle to keep my eyes open. I feel my consciousness slipping. I struggle to get out one last phrase before I succumb.;;;;;;;;;;;;;x
DWNight4106.3;[dw_vampire_seducer.GetFirstName] accepts my kiss. His lips are amazing, strong yet soft as I feel like I'm floating lazily along a stream. Our kiss breaks as he moves down my neck, kissing and licking as he peels my clothing from my body. I'm in ecstasy and able to do little more than pant and steady myself as my legs appear ready to collapse.\n  He pushes me back onto a couch, my naked body fully exposed before him. He removes his clothing. It's mezmerising how it just seems to slide off his body, as if his skin were as smooth as silk. His form is enticing, lean, strong, and I can tell he finds my body pleasing.\n  I tremble as he leans against me, using his hands to explore, while breathing and nibbling on my neck. His hands finally make their way down to my ass, where he squeezes my ass cheeks, kneading them with his fingers.\n  I tense as I feel his hardness against me. He bites my neck as he pushes forth. Like a kitten in its mother's grip, I'm unable to resist as he begins fucking my ass.\n  It's so intense that I'm unable to do more than pant with each thrust. He slides one of his firm fingers into my mouth, and I suckle it with hunger as he's banging me. The feeling is too much as I climax hard, my cock convulsing and shooting cum upon my stomach. After a few more moments, he pulls out and shoots his cum upon my belly as well, our semen mixing atop me.\n  It's too much. I struggle to keep my eyes open as sleep beckons. I struggle to get out one last phrase before I succumb.;;;;;;;;;;;;;x
DWNight4106A;Best talk ever.;;;;;;;;;;;;;x
DWNight4106B;Please be my lover.;;;;;;;;;;;;;x
DWNight4150.0;I slip into the hallway, taking care to be unseen. I slide along the shadows as I make my way down it towards [dw_vampire_seduction_target.GetFirstName], who has just themselves entered the hallway. As we get closer, I step out letting my footsteps be heard.\n [dw_vampire_seduction_target.GetFirstName] looks up, noticing me as I approach. I flash a warm welcoming smile and offer up a greeting. They respond in kind, but I can sense unease in them.\n  I make an offhand remark about the weather, the common topic that establishes a basic connection with an individual. After they respond in kind with an uninteresting observation about the weather, I share that I'm glad I've had the opportunity to bump into them this evening. Their unease waivers a bit, weakened by the simple dialog exchange we shared.\n  Now it's time to secure what I've come here for. I need to lure them away, where I can operate in peace, without the chance of interruption. I allow my warmest smile to grace my face as I make my pitch to them.;;;;;;;;;;;;;x
DWNight4150A;Look into my eyes. (Hypnotism);;;;;;;;;;;;;x
DWNight4150B;I have urgent news for you.;;;;;;;;;;;;;x
DWNight4150C;Let's talk over some wine.;;;;;;;;;;;;;x
DWNight4150D;Nevermind. I'll be going.;;;;;;;;;;;;;x
