#CODE;ENGLISH;;;;;;;;;;;;;x
dw_opinion_good_brawl;Entertaining Brawler;;;;;;;;;;;;;x
dw_opinion_mildly_entertained;Mildly Entertained;;;;;;;;;;;;;x
dw_opinion_appreciated_artwork;Appreciated Artwork;;;;;;;;;;;;;x
dw_opinion_patron_artwork;Patron of the Arts;;;;;;;;;;;;;x
## Sex Related
dw_opinion_good_head;Gives Good Head;;;;;;;;;;;;;x
dw_opinion_good_fuck;Good Fuck;;;;;;;;;;;;;x
dw_opinion_sexual_disgust;Sexual Deviant;;;;;;;;;;;;;x
dw_opinion_bad_dog_raper_owner;Owner of Bad Dog;;;;;;;;;;;;;x
dw_opinion_good_dog_owner;Owner of Good Dog;;;;;;;;;;;;;x
dw_opinion_good_dog_slut;Dog Slut;;;;;;;;;;;;;x
dw_opinion_dynasty_assault;Dynasty Assault;;;;;;;;;;;;;x
dw_opinion_good_cock_tease;Good Cock Tease;;;;;;;;;;;;;x
## How someone was treated
dw_opinion_got_their_way;Allowed to get their way;;;;;;;;;;;;;x
dw_opinion_got_scolded;Scolded;;;;;;;;;;;;;x
dw_opinion_got_praised;Provided Praise;;;;;;;;;;;;;x
dw_opinion_has_initiative;Shows Initiative;;;;;;;;;;;;;x
dw_opinion_created_headache;Created a Headache;;;;;;;;;;;;;x
dw_opinion_intimidated;Intimidated into Compliance;;;;;;;;;;;;;x
dw_opinion_asshole;Asshole;;;;;;;;;;;;;x
dw_slept_with_wife;Slept with my wife!;;;;;;;;;;;;;x
dw_not_slept_with_wife;Spared my wife.;;;;;;;;;;;;;x
dw_rejected_forced_love;Rejected Forced Love;;;;;;;;;;;;;x
dw_bribe_refused;Refused my bribe;;;;;;;;;;;;;x
dw_tried_to_bribe_me;Tried to bribe me;;;;;;;;;;;;;x
dw_accepted_my_bribe;Accepted my bribe;;;;;;;;;;;;;x
dw_took_bribe;Took their bribe;;;;;;;;;;;;;x
dw_respected_request;Respected my request;;;;;;;;;;;;;x
dw_invited_to_court;Invited to court;;;;;;;;;;;;;x
## Slave related
dw_opinion_slave_master;Slave Master;;;;;;;;;;;;;x
## Werewolf related
dw_opinion_my_bitch;My Bitch;;;;;;;;;;;;;x
dw_opinion_ima_bitch;I'm a Bitch;;;;;;;;;;;;;x
dw_fenris_loyalist;Fenris Loyalist;;;;;;;;;;;;;x
## Vampire related
dw_opinion_sire;Sire;;;;;;;;;;;;;x
dw_opinion_vampire_master;Vampire Master;;;;;;;;;;;;;x
dw_opinion_bitten_by_vampire;Bitten by Vampire;;;;;;;;;;;;;x
dw_exposed_identity;Exposed Identity;;;;;;;;;;;;;x
## Succubus related
dw_opinion_immortalized;Made Immortal;;;;;;;;;;;;;x
dw_opinion_refused_blood_moon;Refused Blood Moon;;;;;;;;;;;;;x
dw_opinion_blood_moon_heretic_liege;Heretic Liege (Blood Moon);;;;;;;;;;;;;x
dw_spared_life;Spared from Sacrifice;;;;;;;;;;;;;x
dw_held_blood_moon_celebration;Held Blood Moon Celebration;;;;;;;;;;;;;x
dw_blood_moon_drinking_buddy;Blood Moon Drinking Buddy;;;;;;;;;;;;;x
dw_blood_moon_impressed;Impressed at Blood Moon;;;;;;;;;;;;;x
dw_blood_moon_disappointed;Disappointed at Blood Moon;;;;;;;;;;;;;x
dw_blood_moon_humorous;Humorous at Blood Moon;;;;;;;;;;;;;x
dw_blood_moon_ridicule;Ridiculed at Blood Moon;;;;;;;;;;;;;x
dw_opinion_incubus_intimidation;Incubus Intimidation;;;;;;;;;;;;;x
# Tentacle related
dw_opinion_mind_wipe_master;Master of My Mind;;;;;;;;;;;;;x
dw_opinion_mind_manipulator;Mind Manipulator;;;;;;;;;;;;;x
