#CODE;ENGLISH;;;;;;;;;;;;;x
#Event Titles
dw_the_finish_title;The Finish;;;;;;;;;;;;;x
dw_love_making_title;Experiencing Pleasure;;;;;;;;;;;;;x
#Event Descriptions
DWSex140.0;With [female_lover_1.GetFirstName] on her back, I enjoy the view of my wife just before sliding my cock into her wanton pussy. She moans as I slide it in all the way.\n  "Yes [male_lover_1.GetFirstName], that feels so good."\n  I can't help but agree. She's looks enticing, and feels remarkable as she takes me inside her. I begin to thrust my hips, gliding my member in and out of her, enjoying the sound of her gasps and moans.\n  "Oh yes [male_lover_1.GetFirstName]. My husband, take me my love."\n  I pick up my pace, the impact from my thrusts causing her breasts to sway. Her breathing is building as well, a clear sign that she's approaching a climax. I myself can feel the sensation building.\n  Do I release, or carry on?;;;;;;;;;;;;;x
DWSex140.1;With [female_lover_1.GetFirstName] on her back, I enjoy the view of my mother just before sliding my cock into her wanton pussy. She moans as I slide it in all the way.\n  "Yes [male_lover_1.GetFirstName], that feels so good."\n  I can't help but agree. She's looks enticing, and feels remarkable as she takes me inside her. I begin to thrust my hips, gliding my member in and out of her, enjoying the sound of her gasps and moans.\n  "Oh yes [male_lover_1.GetFirstName]. Your father never felt this good."\n  I pick up my pace, the impact from my thrusts causing her breasts to sway. Her breathing is building as well, a clear sign that she's approaching a climax. I myself can feel the sensation building.\n  Do I release, or carry on?;;;;;;;;;;;;;x
DWSex140.2;With [female_lover_1.GetFirstName] on her back, I enjoy the view of my daughter just before sliding my cock into her wanton pussy. She moans as I slide it in all the way.\n  "Yes [male_lover_1.GetFirstName], that feels so good."\n  I can't help but agree. She's looks enticing, and feels remarkable as she takes me inside her. I begin to thrust my hips, gliding my member in and out of her, enjoying the sound of her gasps and moans.\n  "Oh yes [male_lover_1.GetFirstName]. It feels so good daddy."\n  I pick up my pace, the impact from my thrusts causing her breasts to sway. Her breathing is building as well, a clear sign that she's approaching a climax. I myself can feel the sensation building.\n  Do I release, or carry on?;;;;;;;;;;;;;x
DWSex140.3;With [female_lover_1.GetFirstName] on her back, I enjoy the view just before sliding my cock into her wanton pussy. She moans as I slide it in all the way.\n  "Yes [male_lover_1.GetFirstName], that feels so good."\n  I can't help but agree. She's looks enticing, and feels remarkable as she takes me inside her. I begin to thrust my hips, gliding my member in and out of her, enjoying the sound of her gasps and moans.\n  "Oh yes [male_lover_1.GetFirstName]. My husband, take me my love."\n  I pick up my pace, the impact from my thrusts causing her breasts to sway. Her breathing is building as well, a clear sign that she's approaching a climax. I myself can feel the sensation building.\n  Do I release, or carry on?;;;;;;;;;;;;;x
DWSex140A;Continue making love.;;;;;;;;;;;;;x
DWSex140B;Cum inside of her.;;;;;;;;;;;;;x
DWSex140C;Pull out and finish on her.;;;;;;;;;;;;;x
