#CODE;ENGLISH;;;;;;;;;;;;;x
## Decisions
dw_off_map_test;Test Decision;;;;;;;;;;;;;x
dw_off_map_test_desc;This is to test the off map decision.;;;;;;;;;;;;;x
## Event Titles
dw_arcane_theory_title;Arcane Theory Tome;;;;;;;;;;;;;x
dw_mage_choice_title;A Heavy Choice;;;;;;;;;;;;;x
dw_soul_corruption_title;Soul Corruption;;;;;;;;;;;;;x
dw_chosen_of_lilith_to_court_title;A Courtly Chosen;;;;;;;;;;;;;x
dw_society_inquiry_title;The Approach;;;;;;;;;;;;;x
dw_chosen_quest_title;Chosen Quest;;;;;;;;;;;;;x
dw_society_sacrifice;Chosen Sacrifice;;;;;;;;;;;;;x
dw_recruitment_drive;Society Recruitment;;;;;;;;;;;;;x
## Society Ranks, Currency
dw_the_wizards;Wizards College;;;;;;;;;;;;;x
dw_the_wizards_desc;The Wizards College embraces the pursuit of knowledge in learning how to control and manipulate the arcane. Those who have the skill to progress in the order claim to have learned to control these mysteries.;;;;;;;;;;;;;x
dw_the_wizards_leader_desc;The Archmage of the order is the first among peers.;;;;;;;;;;;;;x
dw_the_wizards_rank_1_male;Apprentice;;;;;;;;;;;;;x
dw_the_wizards_rank_2_male;Wizard;;;;;;;;;;;;;x
dw_the_wizards_rank_3_male;Grand Wizard;;;;;;;;;;;;;x
dw_the_wizards_rank_4_male;Archmage;;;;;;;;;;;;;x
dw_the_wizards_rank_1_female;Apprentice;;;;;;;;;;;;;x
dw_the_wizards_rank_2_female;Wizard;;;;;;;;;;;;;x
dw_the_wizards_rank_3_female;Grand Wizard;;;;;;;;;;;;;x
dw_the_wizards_rank_4_female;Archmage;;;;;;;;;;;;;x
currency_name_dw_the_wizards;Mana;;;;;;;;;;;;;x
dw_the_chosen_of_lilith;Chosen of Lilith;;;;;;;;;;;;;x
dw_the_chosen_of_lilith_desc;The Chosen of Lilith are a cult that worships Lilith, the first wife of Adam, who rejected God. She is the mother of the first Succubus and Incubus, and is viewed as being aligned with Lucifer, as her progeny feed upon the world.;;;;;;;;;;;;;x
dw_the_chosen_of_lilith_leader_desc;The Ascendant has risen above their kin, to be recognized and favored by Mother Lilith.;;;;;;;;;;;;;x
dw_the_chosen_of_lilith_rank_1_male;Pet;;;;;;;;;;;;;x
dw_the_chosen_of_lilith_rank_2_male;Son;;;;;;;;;;;;;x
dw_the_chosen_of_lilith_rank_3_male;Aspirant;;;;;;;;;;;;;x
dw_the_chosen_of_lilith_rank_4_male;Ascendant;;;;;;;;;;;;;x
dw_the_chosen_of_lilith_rank_1_female;Pet;;;;;;;;;;;;;x
dw_the_chosen_of_lilith_rank_2_female;Daughter;;;;;;;;;;;;;x
dw_the_chosen_of_lilith_rank_3_female;Aspirant;;;;;;;;;;;;;x
dw_the_chosen_of_lilith_rank_4_female;Ascendant;;;;;;;;;;;;;x
currency_name_dw_the_chosen_of_lilith;Favor;;;;;;;;;;;;;x
dw_major_soul_corruption_effect_tooltip;Not everyone's soul can handle playing with dark powers, and some bear heavy scars from such practices.;;;;;;;;;;;;;x
dw_minor_soul_corruption_effect_tooltip;Not everyone's soul can handle playing with dark powers, and some bear heavy scars from such practices.;;;;;;;;;;;;;x
dw_the_wizards_wrote_arcane_theory_cd_tooltip;§Y[Root.GetTitledFirstName]§! has not already written their Arcane Theory Discovery.\n;;;;;;;;;;;;;x
dw_the_wizards_wrote_arcane_theory_duplicate;Does not already own Arcane Theories on all topics.\n;;;;;;;;;;;;;x
dw_the_wizards_write_arcane_theory;Write an Arcane Theory Discovery.\n;;;;;;;;;;;;;x
dw_the_wizards_write_arcane_theory_desc;Transcend the understanding of the Arcane by crafting a discovery tome of Arcane Theory.\n;;;;;;;;;;;;;x
dw_the_wizards_scrying_cooldown_tooltip;has_an_omen_modifier_trigger = no\n;;;;;;;;;;;;;x
dw_the_wizards_perform_scrying;Perform Scrying;;;;;;;;;;;;;x
dw_the_wizards_perform_scrying_desc;Perform a Scrying to determine if what if any Omen's there are for the target.;;;;;;;;;;;;;x
dw_the_wizards_write_arcane_theory_paper;Write an Arcane Theory Paper;;;;;;;;;;;;;x
dw_the_wizards_write_arcane_theory_paper_desc;A paper that puts forth my observations on a matter regarding the arcane energies that our society studies.;;;;;;;;;;;;;x
title_dw_the_wizards_apprentice;Wizard's Apprentice;;;;;;;;;;;;;x
dw_the_wizards_acquire_ingredients_decision;Collect Ingredients;;;;;;;;;;;;;x
dw_the_wizards_acquire_ingredients_decision_desc;Seek out ingredients that may be of use when crafting some of your Wizard's College Alchemy items.;;;;;;;;;;;;;x
dw_brew_happiness_potion;Brew a Happiness Potion;;;;;;;;;;;;;x
dw_brew_happiness_potion_desc;Use your resources as a member of the Wizards College to brew a potion.;;;;;;;;;;;;;x
dw_the_chosen_of_lilith_recruit_block_tooltip;Has not been approached by a Chosen of Lilith before.;;;;;;;;;;;;;x
## Society Event Related
