#CODE;ENGLISH;;;;;;;;;;;;;x
#Event Titles
dw_tentacle_start_title;Champion of Chaos;;;;;;;;;;;;;x
dw_mind_fuck_title;Mind Fuck;;;;;;;;;;;;;x
#Custom Tooltips
#Decisions
DWTentacle10;My childhood was a mix of emotion. My mother was raped by some kind of abomination. My birth and early years had people observing and testing me, to ensure I wasn't corrupted. Unknown to those fools, something inside me knew that my life depended on hiding my true self. \n  It wasn't until adulthood, through the ravages of puberty that my inner power rose to the surface and altered my features. By then, it was too late to simply dispose of me. I had already cultivated enough support and power that they had to give me the benefit of the doubt. To give me a chance. \n  The fools. I've played the game, and now I sit upon my own throne. Mankind is a fearful species though, and as such I still have many who plot against me. \n  But this game of survival isn't new. What is new is what I've planned for them all.;;;;;;;;;;;;;x
DWTentacle10A;My existence is not a mistake. It is this world's solution.;;;;;;;;;;;;;x
DWTentacle1000;[dw_mind_fuck_target.GetBestName] is in need of being brought to heel. Of the myriad of options available to me, one stands out as the most desirable solution to this equation. It is time to mind fuck [dw_mind_fuck_target.GetFirstName]. \n  I shudder in anticipation and hunger as I can clearly imagine my tentacle sliding into the various entryways to [dw_mind_fuck_target.GetFirstName]'s skull. I chuckle at the thought of the drool that falls from their slackened jaw as I both assail their mind with my mental dominance, while my tentacles push through the soft tissue until reaching their brain. Where upon reaching the brain, my tentacles will burrow in, carving and absorbing their delicate cerebral flesh. \n  Oh how I do hope it isn't a mind that's failing, for those lack in taste. While a sharp mind is a blissful delicacy to consume. \n  Of course, I'm not seeking to consume their mind completely. No, that would result in death, and death is too kind a release for what I have in store for them. No, [dw_mind_fuck_target.GetFirstName] just needs to be shaped a bit. Molded into less of an obstacle for me. Where it can then stand as an example of what can happen to those that oppose me.;;;;;;;;;;;;;x
DWTentacle1000A;[dw_mind_fuck_target.GetFirstName] is behind bars and helpless to escape my attempt.;;;;;;;;;;;;;x
DWTentacle1000B;[dw_mind_fuck_target.GetFirstName] is a slave who is cannot resist.;;;;;;;;;;;;;x
DWTentacle1000C;I shall strike [dw_mind_fuck_target.GetFirstName] from the shadows.;;;;;;;;;;;;;x
