#CODE;ENGLISH;;;;;;;;;;;;;x
dw_build_lair_tooltip;Construction on the Lair begins.;;;;;;;;;;;;;x
dw_build_hall_tooltip;Construction on the Hall begins.;;;;;;;;;;;;;x
dw_character_on_a_mission;Character is already on a mission.;;;;;;;;;;;;;x
dw_combat_training_tooltip;You undergo combat training for the next six to nine months.;;;;;;;;;;;;;x
dw_patrol_tooltip;Adds an On Patrol modifier for the next six months.;;;;;;;;;;;;;x
dw_extortion_tooltip;Adds an Extortion modifier for the next six months.;;;;;;;;;;;;;x
dw_prison_break_tooltip;Puts in motion a prison break attempt sometime in the next 30 days.;;;;;;;;;;;;;x
dw_visit_recovery_tooltip;Spend Time With has a 30 day cooldown.;;;;;;;;;;;;;x
dw_set_beastiality_preference;This option sets your beastiality preferences for Heroes and Villains content.;;;;;;;;;;;;;x
dw_potential_pregnancy_tooltip;Potential pregnancy;;;;;;;;;;;;;x
dw_tooltip_success;Success!;;;;;;;;;;;;;x
dw_tooltip_failure_not_noticed;Failed, but not noticed;;;;;;;;;;;;;x
dw_tooltip_failure_noticed;Failed and noticed;;;;;;;;;;;;;x
dw_learning_tooltip;Gives tech points or a character modifier after six to nine months.;;;;;;;;;;;;;x
dw_multiple_image_tooltip;NPC has multiple image options available.;;;;;;;;;;;;;x
dw_character_available_to_adventure;Character is available to go on an adventure.;;;;;;;;;;;;;x
dw_tower_visit_recovery_tooltip;Visit Tower has a 30 day cooldown;;;;;;;;;;;;;x
dw_inn_visit_recovery_tooltip;Visit Grand Inn has a 30 day cooldown;;;;;;;;;;;;;x
dw_recruit_random_mage;A random mage will arrive at your court.;;;;;;;;;;;;;x
dw_futa_form_tooltip;Allows a woman to grow a dick (become a futa).;;;;;;;;;;;;;x
dw_symbiote_union_tooltip;Establishs a bond with a Symbiote, gaining the Symbiote/Tentacle-kin trait.;;;;;;;;;;;;;x
dw_gender_swap_tooltip;Go from guy to gal or gal to guy. May complicate things in the game. Be careful with its use.;;;;;;;;;;;;;x
dw_youthfulness_tooltip;Straight from the Fountain of Youth! Said wind back the clock ten years.;;;;;;;;;;;;;x
dw_breast_expansion_tooltip;For those who believe that more is better.;;;;;;;;;;;;;x
dw_cock_growth_tooltip;For those who believe that more is better.;;;;;;;;;;;;;x
dw_minor_healing_tooltip;Forces the body to heal minor wounds and afflictions. If none exist, it emboldens the body, improving overall health.;;;;;;;;;;;;;x
dw_major_healing_tooltip;A miracle drug that heals severe wounds and afflictions, although it may not remove the worst.;;;;;;;;;;;;;x
dw_beauty_potion_tooltip;A potion that can reshape the user to appear more alluring. Does not address wounds.;;;;;;;;;;;;;x
dw_oblivion_tooltip;A potion that opens the mind to the world around it. Can result in insight gains or mental trauma.;;;;;;;;;;;;;x
dw_giant_growth_tooltip;Makes short people into 'normal' people. Makes normal people into Giants.;;;;;;;;;;;;;x
dw_awken_heritage_tooltip;Does your blood hold a link to the myths or lore from your cultures past?;;;;;;;;;;;;;x
dw_elder_blood_tooltip;A potion that is said to contain the distilled blood of an Elder Vampire.;;;;;;;;;;;;;x
dw_builders_boon_tooltip;A potion that gives one engineering insight, allowing improved speed and fiscal focus during construction.;;;;;;;;;;;;;x
dw_love_potion_tooltip;Used on yourself, it makes you more alluring. Given as a gift, you may gain a new love.;;;;;;;;;;;;;x
dw_mana_potion_tooltip;Removes any spell cooldowns that are in place. Can be held and used later or gifted to another.;;;;;;;;;;;;;x
dw_mage_specialization_training_tooltip;Expect training to take about a year, with chances to be done sooner or later.;;;;;;;;;;;;;x
dw_target_hit;Target Hit;;;;;;;;;;;;;x
dw_target_missed;Target Missed;;;;;;;;;;;;;x
dw_visit_recovery;30-day Visit Recovery;;;;;;;;;;;;;x
dw_30_day_cooldown;30 day cooldown;;;;;;;;;;;;;x
dw_90_day_cooldown;90 day cooldown;;;;;;;;;;;;;x
dw_180_day_cooldown;180 day cooldown;;;;;;;;;;;;;x
dw_fasting_tooltip;Not Fasting;;;;;;;;;;;;;x
