#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
### Traits
## Body Parts
dw_tiny_tits;Tiny Tits;;;;;;;;;;;;;x
dw_tiny_tits_desc;Breasts as flat as a board that don't even fill an A cup.;;;;;;;;;;;;;x
dw_small_tits;Small Tits;;;;;;;;;;;;;x
dw_small_tits_desc;Breasts about the size of an egg that equates to an A cup size.;;;;;;;;;;;;;x
dw_regular_tits;Average Tits;;;;;;;;;;;;;x
dw_regular_tits_desc;Breasts about the size of an apple that equates to a cup size ranging from B to C.;;;;;;;;;;;;;x
dw_big_tits;Large Tits;;;;;;;;;;;;;x
dw_big_tits_desc;Breasts about the size of a grapefruit that equates to a cup size ranging from D to E.;;;;;;;;;;;;;x
dw_huge_tits;Huge Tits;;;;;;;;;;;;;x
dw_huge_tits_desc;Breasts about the size of pineapple that equates to about a F cup size.;;;;;;;;;;;;;x
dw_enormous_tits;Enormous Tits;;;;;;;;;;;;;x
dw_enormous_tits_desc;Knockers about the size of a cantaloupe that equates to about a G cup size.;;;;;;;;;;;;;x
dw_gigantic_tits;Gigantic Tits;;;;;;;;;;;;;x
dw_gigantic_tits_desc;Knockers about the size of a watermelon that equates to cup size of H and above.;;;;;;;;;;;;;x
dw_tiny_dick;Tiny Dick;;;;;;;;;;;;;x
dw_tiny_dick_desc;This little guy is three inches or shorter in length.;;;;;;;;;;;;;x
dw_small_dick;Small Dick;;;;;;;;;;;;;x
dw_small_dick_desc;A dick that runs around 4-5 inches in length.;;;;;;;;;;;;;x
dw_regular_dick;Average Dick;;;;;;;;;;;;;x
dw_regular_dick_desc;Your typical penis, running around 6-7 inches long.;;;;;;;;;;;;;x
dw_big_dick;Big Dick;;;;;;;;;;;;;x
dw_big_dick_desc;An impressive cock that is around 8-9 inches long.;;;;;;;;;;;;;x
dw_huge_dick;Huge Dick;;;;;;;;;;;;;x
dw_huge_dick_desc;An intimidating specimen that is about 10-11 inches long.;;;;;;;;;;;;;x
dw_enormous_dick;Enormous Dick;;;;;;;;;;;;;x
dw_enormous_dick_desc;This beast a solid foot in length.;;;;;;;;;;;;;x
dw_gigantic_dick;Gigantic Dick;;;;;;;;;;;;;x
dw_gigantic_dick_desc;A true monster, coming in at 14 or more inches long.;;;;;;;;;;;;;x
futa;Futanari;;;;;;;;;;;;;x
futa_desc;An extremely female looking hermaphrodite. Prone to being oversexed, though typically not fertile.;;;;;;;;;;;;;x
trap;Trap;;;;;;;;;;;;;x
trap_desc;A pretty male who can pass as a female with the right clothing. Some have found ways to have breasts.;;;;;;;;;;;;;x
enchanting;Enchanting Beauty;;;;;;;;;;;;;x
enchanting_desc;One who could claim to be the fairest of them all.;;;;;;;;;;;;;x
heterochromia;Heterochromia;;;;;;;;;;;;;x
heterochromia_desc;Two different colored iris's, viewed to be signs of the supernatural or spiritual.;;;;;;;;;;;;;x
## Negative Traits
victim;Victim;;;;;;;;;;;;;x
victim_desc;A victim of sexual assault.;;;;;;;;;;;;;x
frog;Frog;;;;;;;;;;;;;x
frog_desc;Cursed by magic, now a frog.;;;;;;;;;;;;;x
beast_lover;Beast Lover;;;;;;;;;;;;;x
beast_lover_desc;Publicly known to enjoy sex with beasts.;;;;;;;;;;;;;x
## Race Traits
lilith;Succubus;;;;;;;;;;;;;x
lilith_desc;You gain energy through rituals of pleasure.;;;;;;;;;;;;;x
incubus;Incubus;;;;;;;;;;;;;x
incubus_desc;You've the blood of oversexed demons flowing through you.;;;;;;;;;;;;;x
vampire_ancient;Ancient Vampire;;;;;;;;;;;;;x
vampire_ancient_desc;One of the first vampires, it has lived centuries and is a master of deception.;;;;;;;;;;;;;x
dhampir;Dhampir;;;;;;;;;;;;;x
