#CODE;ENGLISH;;;;;;;;;;;;;x

#Event Titles
dw_i_want_u_title;I Want You;;;;;;;;;;;;;x
#Event Descriptions
dw_visits05;If you're seeing this event, then you've encountered a combination for spending time that I've not yet included. This event is a place holder, as I expect to add something in the future - HOWEVER - you can help make the uncertain future into a reality!\n  Either shoot me a message or post in the support thread some recommended text for the event, and I'll handle hunting down a suitable picture and take care of the code on the back end to incorporate your submission. With your help, we can see these holes filled.;;;;;;;;;;;;;x
dw_visits05a;Understood;;;;;;;;;;;;;x
dw_visits1000.0;I meet with [dw_visit_target.GetFirstName], and find that she's in the mood for some simple cuddling while enjoying a nap in bed. Or at least that's how it starts while we're wrapped around each, lazily chatting about our day. Her naked body is warm against mine. \n  I'm relaxed and enjoying her scent when I feel my cock begin to stir. I do my best to put it out of my head, seeking to be the dutiful lover who can enjoy just lounging with my lady, when I hear her giggle. I'm about to ask her what she finds so amusing when I feel her hand grasp my cock. \n  My mind seems to melt as she continues chatting while stroking my cock. Did she just ask me a question? I stammer out an acknowledgement, not really having heard what she said as her hand pumping has my entire focus. She giggles again, and she might have just called me a dirty little slut, but my mind isn't able to get upset enough to argue. Instead I feel my jaw go slack from the pleasure that's growing throughout me. Her hand is like fucking magic as it works me over.;;;;;;;;;;;;;x
dw_visits1000.1;[dw_visit_target.GetFirstName]'s hand continues to glide expertly. I feel drool begin to escape my mouth from the sensation that has me slack-jawed. \n  "Does my love desire release?" \n  I don't know how, but somehow those words come across clearly. I nod and let out a desperate yes in response.  [dw_visit_target.GetFirstName] almost seems to purr as she begins pumping faster, her hand becoming slicker from the precum that oozes out of the tip of my cock. \n  I feel it building and close my eyes to focus on the sensation. Her strokes become longer, her hand slamming into the base of my cock. The sensation at first seems uncomfortable, but then it quickly changes, the slight pain becoming intense pleasure as I feel my balls tighten and cock begin to throb. \n  "Ooh, that's a good lover. Show me what you've got for me." \n  My body responds to the request, a thick jet of cum shooting out that has her comment as to how impressive it is. I moan and continue to shoot a couple more streams which land upon my chest. \n  Finally spent, [dw_visit_target.GetFirstName] coos as she snuggles closer and rubs my cum into my chest. All while continuing to tell me about her day.;;;;;;;;;;;;;x
dw_visits1000A;[dw_visit_target.GetFirstName] has amazing hands.;;;;;;;;;;;;;x
dw_visits1000B;Oh how I enjoy spending time with [dw_visit_target.GetFirstName].;;;;;;;;;;;;;x
dw_visits1010;I manage to get some time alone with [dw_visit_target.GetFirstName] after a long day. We embrace as soon as we're behind closed doors, and our desire is apparent as we immediately begin to undress each other. As clothes come off, our hands are wandering as we explore each other.\n  Or exploration soon becomes a challenge. Any touch that results in a moan or some other sign of pleasure, spurs the recipient to obtain a similar response from the other. A game of teasing, building each other up while trying not to be the first to cave.\n  My cock is rigid, and my pussy moist, yet I'm doing my best to hold on. [dw_visit_target.GetFirstName] tickles me a bit with one of her caresses, and my spinning away has her fall on the bed.\n  I decide to have some fun with her being prone, and I slap my cock against her cheek. She gasps, and the lust her eyes seems to grow as she takes in a deep breath, taking in my scent. She grabs my cock, and flicks her tongue across its tip. I declare victory, and her answer is to stuff half of it in her mouth, where she runs her tongue under it.\n  I clamor onto of the bed, to straddle her while she sucks on me. I pump my hips as she sucks. I'm moaning as I fuck her mouth, and after a couple minutes, I can take it no longer. I begin cumming hard, and she breaks off. My cum splashing on her chest and face, before she squeezes off the rest into her mouth.;;;;;;;;;;;;;x
dw_visits1010a;Alright [dw_visit_target.GetFirstName], your turn.;;;;;;;;;;;;;x
dw_visits1020;I am excited to visit [dw_visit_target.GetFirstName], and she seems just as thrilled. We don't spend much time talking, moving quickly to a passionate embrace that is quickly followed by us stripping each other.\n  Standing there naked, my cock is hard and pointing straight at her. [dw_visit_target.GetFirstName] smiles at me and lays back onto the bed. As she spreads her legs, it's like an invisible call to my cock, as it seems to bob in the air with anticipation as I move towards her.\n Her aroused scent is intoxicating. My cock twitches with excitement as I rub it along the folds of her moist pussy. As I slide in, she and I both moan in satisfaction.\n  I want to wait and enjoy the sensation, yet my hips have aligned with my cock, and they begin to move. The sensation sends chills up my spine, and my hips seem to increase in speed.\n  I've waited so long today to be between these thighs, that I can't slow down the pace. [dw_visit_target.GetFirstName] makes a comment about how deep I am, and I feel a tinge of pride. My cock seems to appreciate the compliment as well, for I can feel it preparing to blow.\n  I look down at her soft, beautiful flesh, and suddenly wish to mark it. So I pull out my cock as I begin to cum. Sending long streams of thick cum through the air, where it lands on her stomach. Painting her beautiful skin white.;;;;;;;;;;;;;x
dw_visits1020a;That was wonderful.;;;;;;;;;;;;;x
dw_visits1020b;Stick it back in (preg chance);;;;;;;;;;;;;x
dw_visits1030;I manage to get some time along with [dw_visit_target.GetFirstName] after a long day. We embrace and the desire almost seems to radiate from each of us. We undress each other, each seeking to touch, kiss, and get closer to the other. \n  Neither gives quarter in our desires and soon we're entwined on the floor, forming a perfect chain as I do my best to take all of her cock down my throat, while she attempts the same. It soon turns into a contest, as we each seek to disrupt the other through pleasure. It's a give and take with [dw_visit_target.GetFirstName]. One moment I'm in control, the next she has me unfocused and panting for release. \n  I somehow manage to get her to orgasm first, yet my victory is short lived for as her seed splashes in the back of my throat, I climax myself.;;;;;;;;;;;;;x
dw_visits1030a;What a great time with [dw_visit_target.GetFirstName].;;;;;;;;;;;;;x
