#CODE;ENGLISH;;;;;;;;;;;;;x
#Event Titles
dw_adult_werewolf_hunt_failed;[Root.GetFirstName] Fails the Hunt!;;;;;;;;;;;;;x
dw_werewolf_gone_feral;[Root.GetFirstName] Goes Feral;;;;;;;;;;;;;x
dw_adult_werewolf_beast_gains;Beast within consumes part of [Root.GetFirstName];;;;;;;;;;;;;x
dw_adult_werewolf_beast_subsides;[Root.GetFirstName] Calms the Beast;;;;;;;;;;;;;x
dw_adult_werewolf_beast_drowned;[Root.GetFirstName] Drowns the Beast;;;;;;;;;;;;;x
dw_young_werewolf_hunts;[Root.GetFirstName] Goes Hunting;;;;;;;;;;;;;x
dw_adult_werewolf_hunts;[Root.GetBestName] Hunts;;;;;;;;;;;;;x
dw_werewolf_enchanted_dance;The Enchanted Dance;;;;;;;;;;;;;x
dw_adult_werewolf_lust_domination;[Root.GetFirstName] Seeks to Dominate;;;;;;;;;;;;;x
dw_adult_werewolf_becomes_hunted;Predator becomes the Prey;;;;;;;;;;;;;x
dw_adult_werewolf_death_title;Death of [Root.GetFirstName];;;;;;;;;;;;;x
dw_adult_werewolf_moondust_title;Ceremony of the Moon;;;;;;;;;;;;;x
dw_rival_hunt_title;Hunting [dw_hunt_rival.GetFirstName];;;;;;;;;;;;;x
#Custom Tooltips
#Event Descriptions
DWWerewolf2199;Fate seems to elude me as little in my hunt goes as planned. I'm starving, angry, and I've injured my leg. The moon no longer feels like it's lighting my way. Instead it's almost mocking me. Highlighting my failures on the night's landscape. I stumble as I attempt to make it back home. My vision is a deep red hue and I can hear the beast in my blood roaring for control. \n  I... I can... Almost home... Consciousness leaves me, yet instead of falling, I feel as though my body is running wild... \n  When morning comes, I find myself in a field, alone and covered in blood that isn't mine.;;;;;;;;;;;;;x
DWWerewolf2199A;Who's blood is this? I need to get home and tend to my leg.;;;;;;;;;;;;;x
DWWerewolf3000;I follow the scent of a nearby bitch, finding [Root.dw_selected_bitch.GetFirstName] fast asleep. I pull back the blankets and find her naked. My cock thickens as I climb onto the bed. She lazily stirs until I grab her and plunge my cock into her cunt. \n  Her eyes open wide and she gasps, breathing in deep my scent. Her eyes glaze lustfully as I fuck her ferociously. The beast within calls for the need to fill her with seed. I respond by pounding her so hard that she can do little more than grunt and accept it. I feel my balls tighten as they ready to fire. I slam it in deep, holding her firmly as I explode within her, causing her to whimper as she trembles with her own orgasm.;;;;;;;;;;;;;x
DWWerewolf3000A;May your womb accept my seed!;;;;;;;;;;;;;x
DWWerewolf3010;I follow the scent of a bitch in heat, and find [Root.dw_selected_bitch.GetFirstName] in the middle of masturbating. She pauses when I enter, her eyes filled with both fear and lust. I push her back on the bed, and pull the phallus from her pussy, causing her to moan and whimper. \n  I hold her face near my pussy as I sink the phallus into me. Her eyes look up at me, pleading for approval as she flicks her tongue out against my clit. I crouch down between her legs, and rub the other end of the phallus over her asshole. \n  Her eyes plead, uncertain as I push it forth, sinking it into her ass. Once in, we entwine our legs and gyrate against each other. The sensation is perfect as I use the bitch and her toy to bring myself to a powerful orgasm. My desires are sated.;;;;;;;;;;;;;x
DWWerewolf3010A;I may have use for you again bitch.;;;;;;;;;;;;;x
DWWerewolf3005;I awaken with a jolt as my pussy emits wave of pain and pleasure. My mind reels at the hot breath on the nape of my neck and the thick musky smell of one of my betters. I instinctively arch my back to better receive their thrusts. \n  Pleasure quickly consumes me as I enter a daze from the frantic pounding of my pussy. I'm insanely wet, and feel my gut tighten in anticipation of receiving my visitor's seed. \n  It isn't long before I feel [From.GetHerHis] cock swell, followed by warmth as I'm filled with [From.GetHerHis] cum as [From.GetSheHe] growls in satisfaction.;;;;;;;;;;;;;x
DWWerewolf3005A;Unh, yes, yes, I'm CUMMMMMMMMMIIIINNNNNNG!;;;;;;;;;;;;;x
DWWerewolf3020;I follow the scent of a nearby bitch, finding [Root.dw_selected_bitch.GetFirstName] preparing for bed. I enter her room, and she gasps as I make my presence known. My cock thickens as her gaze falls to it. Her eyes glaze lustfully as I move her to the bed and push her down on all fours. I slap my engorged cock against her ass, causing her to arch her back and moan in response. \n  I slid my cock into her wet pussy and begin a rhythmic motion. She grips the blankets and matches my motion with her hips. The bitch has it, bringing me to orgasm quickly as I flood her pussy. \n  She moans in disappointment as I chuckle and slap my still hard cock on her ass. She looks over her shoulder a little uncertain as I place the tip of my dick against her anus and push it in.;;;;;;;;;;;;;x
DWWerewolf3020A;I like to double-tap my bitches.;;;;;;;;;;;;;x
DWWerewolf9900;Rrrraah! I, we, HUNGER! No. Freedom. Flee. Hunt. I, we shed all ties! KILL YOU!!! .... Before you kill us, me...;;;;;;;;;;;;;x
DWWerewolf9900A;New land, new food, new hunt for I, we, us, me.;;;;;;;;;;;;;x
DWWerewolf4000;I recline in the crisp evening air. Gazing out towards the moon in all of its brilliance. "Here's to you," I proclaim as I hoist high a bottle of booze. \n  I nod in return to an imagined acknowledgement from the moon, and then take a good sized drink from the booze. Closing my eyes as it makes its way down my throat, I can almost imagine the cries of the beast as it is drowned with alcohol. I feel it stir, trying to break free and gasp for air, so I take another pull from the bottle. \n  Even if it's only temporary, the beast will not hold sway over me this night.;;;;;;;;;;;;;x
DWWerewolf4000A;Bottom's up!;;;;;;;;;;;;;x
DWWerewolf2100;I head into the night in search of wildlife to claim as my prey. I reach a clearing where the moonlight seems to sparkle and dance in the night air. I raise my head and sniff to see what is nearby. \n  Moments pass and I catch a scent. A deer. A worthy target. I begin moving in the direction of my prey and decide how I shall pursue it.;;;;;;;;;;;;;x
DWWerewolf2100A;I use tactics to corner and finish my prey;;;;;;;;;;;;;x
DWWerewolf2100B;I use stealth to stalk and ambush my prey;;;;;;;;;;;;;x
DWWerewolf2100C;I hunt my prey to the best of my abilities;;;;;;;;;;;;;x
DWWerewolf2190;As I tear out the first chunk of flesh with my teeth, I feel the beast within me sated. There is something satisfying in both landing the killing blow, and being able to consume good meat afterwards. \n  I howl to the moon, thanking her for the brilliant illumination as I enjoy the flesh of my kill. I rend away another handful of blood soaked muscle from my prey and enjoy the meal under mother moon's gaze.;;;;;;;;;;;;;x
DWWerewolf2190A;A worth while hunt.;;;;;;;;;;;;;x
DWWerewolf4020;I hear them. All of them. The beast isn't a single voice. It's a pack. \n  They see the corruption all around me. I am in danger. My life, they seek to protect me, not to ruin me. The pack. I am of the pack and the pack protects its own. One voice is louder than the others. It sounds like my own. I can save not only myself, but others. But what others? It's hard to grasp. Enemies. I have no friends. Those who are silent today will stand against me tomorrow. \n  I shake my head. The voices. The quiet for the moment. Or have they?;;;;;;;;;;;;;x 
DWWerewolf4020A;We can control this... We? I? Am I more than me?;;;;;;;;;;;;;x
DWWerewolf4010;I'm beginning to question my wisdom in believing I could tame the beast without participating in a hunt. I lay here in bed, listening to the blood pounding through my veins, crying out, threatening to drown me, when I suddenly feel something upon my chest. \n  I growl as I look to find a cat sitting upon me. The cat seems unimpressed at my growl as it stares back at me, and for a second the howl of the beast inside subsides. The cat taps me with its paw and flicks it's tail. I recognize the intent. It desires attention. \n  I lift a clawed hand and find that I lack the desire to gut it. I stroke it's back, and it begins purring and kneading my chest with its claws. I notice the beast within is quieting. As though it's being lulled to sleep by my little visitor.;;;;;;;;;;;;;x
DWWerewolf4010A;I always found touching pussy to be calming.;;;;;;;;;;;;;x
DWWerewolf1100;As you near adulthood, I hear the wild call of the beast in my veins grow stronger with each passing year. I seem to instinctively know that to try and tame the beast within me, I must hone your skills in the hunt. \n  I've a pair of options before me. Shall I set out in search of a target to stalk, honing my skills to go unnoticed? Or shall I taste raw flesh by hunting down some poor creature, out in the wild, under the full moon? What does the beast within call for to sate it's hunger.;;;;;;;;;;;;;x
DWWerewolf1100A;Stalk prey;;;;;;;;;;;;;x
DWWerewolf1100B;Hunt prey;;;;;;;;;;;;;x
DWWerewolf1110;I choose to stalk my prey. I head out to the edge of town, slinking through the evening shadows. I spy a farmer and his son, leaving after what was likely a day where they brought goods to the market. \n  I follow them, staying low, moving quickly from shadow to shadow. I listen to their words, meaningless babble, little more than a mule braying at the sun. \n  The sun disappears, as their home nears. They think they're safe. Timing their travel to arrive home just after dark. I make my move, dashing out as they near their door. I leap and swipe. The boy's straw hat is knocked off clearly. He turns and I'm no longer there. If called upon to hunt man, I know that I can. The beast cries for blood, but I know we're not to kill needlessly. Yet when the time comes... I can strike unseen.;;;;;;;;;;;;;x
DWWerewolf1110A;They'll never know how I could have finished them.;;;;;;;;;;;;;x
DWWerewolf1120;I choose to hunt. I've been warned many times that when hunting, it is important to not loose myself to the call. That the beast within us demands the hunt, and if we're not worthy enough, the beast within will consume our mind as we consume our prey. \n  The moon is high, and I feel my blood scream in joy at its sight. I howl, seeking to let the moon know that I'm worthy of its light. I hear movement nearby, something fleeing my cry. \n  I give chase, finding that I can cover ground quicker on all fours. I burst through into a clearing and catch site of rabbit trying to flee. I pursue it, smelling its fear. I catch it, rend it. Consume it. I shake my head to clear the fog, and stand, victorious in the hunt. Arching my back, I howl to the moon to share word of the kill in its honor.;;;;;;;;;;;;;x
DWWerewolf1120A;I can see the draw of the beast.;;;;;;;;;;;;;x
DWWerewolf1190;I return home, sneaking into my room. I limp uncomfortably to my bed, taking care to not put too much weight on my leg. The bleeding has stopped, and the wound itself isn't that bad. \n  I attempt to stand straight and grimace in pain. I don't believe anything is broken, but it'll take time to heal none the less. I can see the questions, the disappointment at a failed hunt. Rest. If I rest enough, surely I'll be able to walk better tomorrow. If it doesn't appear that bad, perhaps I can pass it off without drawing any looks of disappointment.;;;;;;;;;;;;;x
DWWerewolf1190A;This will heal over time and I shall improve.;;;;;;;;;;;;;x
DWWerewolf1180;I return home and stop to look up at the moon. Tonight may not have gone as planned, but it was a good night. The thrill was there, and I felt the light of the moon fill me, replacing the roar of the beast within me. \n  I stifle a grin to keep from looking the fool, while letting my eyes scan the shadows. Seeing no one, I slip into my room unseen. I leap into my bed, and notice for the first time that my activities have left me weary. I collapse in a heap, and allow myself the fool's grin as I look forward to the dreams of tonight's activities that will soon come.;;;;;;;;;;;;;x
DWWerewolf1180A;Not the best hunt, but I've rarely felt so alive before.;;;;;;;;;;;;;x
DWWerewolf2000;I can feel the beast within me calling for release. I find myself staring intently at others, getting distracted by sounds nearby, and following scents on the air. I need to address the call. \n  I make my way outside. The evening is young. Looking out I see the moon rising, illuminating the world with its sublime light. \n  I close my eyes and listen to the beast inside my blood, seeking the answer which will best tame it and allow me to remain in control of my body. Exhaling, I know my path. I've made my decision for this evening.;;;;;;;;;;;;;x
DWWerewolf2000A;I shall seek out a kill.;;;;;;;;;;;;;x
DWWerewolf2000B;I must sate my lust.;;;;;;;;;;;;;x
DWWerewolf2000C;I will follow the voice of the beast.;;;;;;;;;;;;;x
DWWerewolf2000D;I must relax to quell the beast.;;;;;;;;;;;;;x
DWWerewolf2010;My blood calls for the blood of another. If I fail to sate my hunger, I may loose ground to the beast within. \n  My options are clear. I can seek to bring down an animal, feeding my hunger with it's raw flesh. I can take a more dangerous path and seek a person as my prey, slaking my thirst as I bite down on their neck. Or I can let the beast decide, as it knows best how to appease itself. \n  Enough contemplation. My course is decided.;;;;;;;;;;;;;x
DWWerewolf2010A;I shall hunt wildlife;;;;;;;;;;;;;x
DWWerewolf2010B;A person shall be my prey;;;;;;;;;;;;;x
DWWerewolf2010C;I shall hunt my rival, [dw_hunt_rival.GetFirstName].;;;;;;;;;;;;;x
DWWerewolf2010D;I shall let the beast decide;;;;;;;;;;;;;x
DWWerewolf2020;The beast within is driving my lust. I desire release both from the beast's urges as well as my own. \n  The wind carries to me various scents that cause the yearning within to distract me. There are those who can sate my thirst. It's only a matter of where shall I go to extinguish the fire within me.;;;;;;;;;;;;;x
DWWerewolf2020A;I shall use an available bitch;;;;;;;;;;;;;x
DWWerewolf2020B;I shall seek a new conquest;;;;;;;;;;;;;x
DWWerewolf2020C;I shall use an Omega Male;;;;;;;;;;;;;x
DWWerewolf2020D;*PLACEHOLDER* I shall let the beast decide;;;;;;;;;;;;;x
DWWerewolf2040;There are other ways to silence the beast. Fenris obviously has control over it and he's not always hunting and baying at the moon like a beast. I too can overcome it through means other than killing and screwing. \n  I feel the beast inside almost surge with what feels like laughter. I laugh in return. We shall see who will win out in the end this evening.;;;;;;;;;;;;;x
DWWerewolf2040A;Alcohol can drown away any worry;;;;;;;;;;;;;x
DWWerewolf2040B;Knowledge shall give me power over the beast.;;;;;;;;;;;;;x
DWWerewolf2040C;*PLACEHOLDER*;;;;;;;;;;;;;x
DWWerewolf2040D;Rest and relaxation;;;;;;;;;;;;;x
DWWerewolf5000;I don't recall when exactly I heard it, all I know now is that the sound envelops me, calls to me. My body dances of it's own accord, yet even as I realize this, there is no anger or disappointment. I'm dancing and I feel peaceful as I move around the source of the music. \n  Elves are a rarity, so rare that most view them as mere fables, yet here is an elven child putting her soul into her instrument. I can't even say that she realizes I'm here, as her focus is solely on the music. An enchanting sound, that somehow conveys hope, joy, and love. It's then that I notice I don't hear the beast within me. \n  By the time my body finally stops, I know not where the little elf went, or even exactly when she stopped playing. I see the morning sun rising, and decide to head off back home.;;;;;;;;;;;;;x
DWWerewolf5000A;In hindsight, I did pretty well with my dance moves too.;;;;;;;;;;;;;x
DWWerewolf2198;Fate seems to elude me as little in my hunt goes as planned. I'm starving and angry as my prey managed to escape me. The moon no longer feels like it's lighting my way. Instead it's almost mocking me. Highlighting my failures on the night's landscape. I stumble as I attempt to make it back home. My vision is a deep red hue and I can hear the beast in my blood roaring for control. \n  I... I can... Almost home... Consciousness leaves me, yet instead of falling, I feel as though my body is running wild... \n  When morning comes, I find myself in a field, alone and covered in blood that isn't mine.;;;;;;;;;;;;;x
DWWerewolf2198A;Who's blood is this? I need to get home.;;;;;;;;;;;;;x
DWWerewolf2191;I howl as I stand victorious over my prey. More than just a hunt, it turned out to be a worthy feat of combat as well, for the prey sought to turn the tables upon me. It fought well, and for that, I shall enjoy this meal all the more as I reach out and rend away a piece of its flesh. \n  As I consume the worthy prey under Mother Moon's illumination, I can feel its essence filling me and sating the hunger of the beast within.;;;;;;;;;;;;;x
DWWerewolf2191A;May all hunts be so worthy.;;;;;;;;;;;;;x
DWWerewolf2192;I howl as I stand victorious over my prey. More than just a hunt, it turned out to be a worthy feat of combat as well, for the prey sought to turn the tables upon me. It fought well, managing to wound me before it fell, and for that, I shall enjoy this meal all the more as I reach out and rend away a piece of its flesh. \n  As I consume the worthy prey under Mother Moon's illumination, I can feel its essence filling me, easing the pain from my wound and sating the hunger of the beast within.;;;;;;;;;;;;;x
DWWerewolf2192A;I must improve so that I can avoided getting wounded in future hunts.;;;;;;;;;;;;;x
DWWerewolf2110;I'm moving across the landscape, under the watchful illumination of the moon overhead. I catch a scent, nearby and my ears inform me that it noticed me as well. I crouch and prepare to spring as a large bear wanders into sight. It's growl making it clear that it doesn't intend to be taken without a fight. \n  A potentially worthy hunt, although one that does carry the risk of injury should I fail to best it.;;;;;;;;;;;;;x
DWWerewolf2110A;I calm my knocking knees and prepare to face the beast.;;;;;;;;;;;;;x
DWWerewolf2110B;I shall defeat my prey.;;;;;;;;;;;;;x
DWWerewolf2110C;I've no desire to risk serious injury.;;;;;;;;;;;;;x
DWWerewolf2197;Fate seems to elude me as facing my prey goes horribly wrong, my body broken and maimed before my prey moves on. I'm in pain, starving and ashamed. The moon no longer feels like it's lighting my way. Instead it's almost mocking me. Highlighting my failures on the night's landscape. I stumble as I attempt to make it back home. My vision is a deep red hue and I can hear the beast in my blood roaring for control. \n  I... I can... Almost home... Consciousness leaves me, yet instead of falling, I feel as though my body is running wild... \n  When morning comes, I find myself in a field, alone and covered in blood that isn't mine.;;;;;;;;;;;;;x
DWWerewolf2197A;I need to get home and tend my wounds else the worsen.;;;;;;;;;;;;;x
DWWerewolf2196;Fate seems to elude me as facing my prey goes horribly wrong, as I'm wounded and unable to pursue my prey as it moves on. I'm in pain, starving and ashamed. The moon no longer feels like it's lighting my way. Instead it's almost mocking me. Highlighting my failures on the night's landscape. I stumble as I attempt to make it back home. My vision is a deep red hue and I can hear the beast in my blood roaring for control. \n  I... I can... Almost home... Consciousness leaves me, yet instead of falling, I feel as though my body is running wild... \n  When morning comes, I find myself in a field, alone and covered in blood that isn't mine.;;;;;;;;;;;;;x
DWWerewolf2196A;I need to get home and tend my wounds else the worsen.;;;;;;;;;;;;;x
DWWerewolf2195;Fate seems to elude me as facing my prey goes horribly wrong. I failed to defeat my prey, as it proved as competent as I in battle, until it managed to slip away. I'm starving, angry and ashamed. The moon no longer feels like it's lighting my way. Instead it's almost mocking me. Highlighting my failures on the night's landscape. I stumble as I attempt to make it back home. My vision is a deep red hue and I can hear the beast in my blood roaring for control. \n  I... I can... Almost home... Consciousness leaves me, yet instead of falling, I feel as though my body is running wild... \n  When morning comes, I find myself in a field, alone and covered in blood that isn't mine.;;;;;;;;;;;;;x
DWWerewolf2195A;Who's blood is this? I must get home.;;;;;;;;;;;;;x
DWWerewolf2194;I ignore the beast within me as I force myself to flee in order to avoid potentially harming myself. I'm starving and ashamed. The moon no longer feels like it's lighting my way. Instead it's almost mocking me, along with the beast's voice within me. Highlighting my failures on the night's landscape. I stumble as I attempt to make it back home. My vision is a deep red hue and I can hear the beast in my blood roaring for control as I'm unworthy. \n  I... I can... Almost home... Consciousness leaves me, yet instead of falling, I feel as though my body is running wild... \n  When morning comes, I find myself in a field, alone and covered in blood that isn't mine.;;;;;;;;;;;;;x
DWWerewolf2194A;Who's blood is this? I must get home.;;;;;;;;;;;;;x
DWWerewolf2120;I'm in an unfamiliar place when I notice how alive the woods seem around me. Even in the evening moonlight, they seem almost radiant, unnatural. It's then that I catch a scent nearby and I feel my fur bristle as the scent is accompanied by an aura of killing intent. \n  I don't have to move far before I see a large bear-like creature emerge before me, marked with the pattern that clearly defines the beast as a Spirit Bear. Nature's embodiment of the power and might of the creatures. I sense that it sees me not as a predator, yet as prey. \n  The beast within me seems to be singing with the urge to face it, while my instincts warn me of the potential death that awaits me. I tense as I prepare my move.;;;;;;;;;;;;;x
DWWerewolf2120A;I put my life on the line as I charge forth to slay the Spirit Bear.;;;;;;;;;;;;;x
DWWerewolf2120B;I recognize the death when I see it, so I flee as quickly as possible.;;;;;;;;;;;;;x
DWWerewolf2121;The battle is impressive. When I finally find myself standing over the Spirit Bear's body, I'm surprised to find myself unscathed. I notice the surrounding landscape is already beginning to lose some of its radiance, a sure sign that the Spirit Bear's essence is passing. \n  The beast within me is silent, it's hunger sated by the glorious battle. It's then that I hear another voice, the instinctual whispers of Mother Moon, the Spirit Bear offers a boon to those who defeat it. Consume the still warm flesh and obtain a measure of its strength, or meditate and open my senses as it passes and gain insight into the unique knowledge it contains.;;;;;;;;;;;;;x
DWWerewolf2121A;I consume the warm flesh, claiming its strength as my own.;;;;;;;;;;;;;x
DWWerewolf2121B;I meditate, catching glimpses of its knowledge and insight.;;;;;;;;;;;;;x
DWWerewolf2122;The battle is impressive. When I finally find myself standing over the Spirit Bear's body, I'm bearing a wound, yet not one that should be lethal. I notice the surrounding landscape is already beginning to lose some of its radiance, a sure sign that the Spirit Bear's essence is passing. \n  The beast within me is silent, it's hunger sated by the glorious battle. It's then that I hear another voice, the instinctual whispers of Mother Moon, the Spirit Bear offers a boon to those who defeat it. Consume the still warm flesh and obtain a measure of its strength, or meditate and open my senses as it passes and gain insight into the unique knowledge it contains.;;;;;;;;;;;;;x
DWWerewolf2124;I leap away from the Spirit Bear, and flee with every ounce of speed I can call forth. I can sense it pursuing, death charging after me. It's not until I reach a clearing by a farm that the aura of death behind me stops. \n  I keep running, although now it's less from the Spirit Bear and more from the howling fury within my head. I stumble, crashing to the ground and my consciousness fades to red as the beast within catches me. \n  I awaken the next morning, uncertain exactly where I am. After wandering for nearly an hour, I finally get my bearings and deduce the route back home.;;;;;;;;;;;;;x
DWWerewolf2124A;I must get back home.;;;;;;;;;;;;;x
DWWerewolf2125;The battle with the Spirit Bear does not end in my favor. I am still alive, but I'm wounded, while the Spirit Bear still lives. Perhaps I should be thankful that I managed to at least drive it off after it wounded me, as I could be dead. \n  Besides having survived, another benefit is the beast seems satisfied by the battle, although as I make slow progress home, that somehow seems shallow. Almost as though I deserve it's mocking, rage inspired rantings for failing. \n  It is what it is, so I focus simply on making my way.;;;;;;;;;;;;;x
DWWerewolf2125A;I must return home and tend to my wound.;;;;;;;;;;;;;x
DWWerewolf2126;The battle with the Spirit Bear does not end in my favor. I am still alive, but I'm maimed while the Spirit Bear still lives. Perhaps I should be thankful that after it broke me, that for some reason it decided to not finish me, as I could be dead. \n  Besides having survived, another benefit is the beast seems satisfied by the battle, although as I make slow progress home, that somehow seems shallow. Almost as though I deserve it's mocking, rage inspired rantings for failing. \n  It is what it is, so I focus simply on making my way.;;;;;;;;;;;;;x
DWWerewolf2126A;I must return home and seek aid.;;;;;;;;;;;;;x
DWWerewolf2130;I've been tracking some deer for nearly an hour when I spot them. Not only them, but a group of poachers as well, about eight in all from what I can sense. \n  There are enough deer that I can ignore the poachers and pursue one myself. Or, I could face the poachers, for after all, they're hunting on lands and game that do not belong to them.;;;;;;;;;;;;;x
DWWerewolf2130A;I've no interest in poachers and pursue the game.;;;;;;;;;;;;;x
DWWerewolf2130B;I shall confront the poachers, as these are my lands.;;;;;;;;;;;;;x
DWWerewolf2131;I get closer to the poachers, listening and watching them. They don't notice me yet, although I can see that all eight are armed with bows and either a poorly made sword or dagger. Making the only thing potentially problematic, is their numbers. \n  As I get closer, I can tell that a couple of them are malnourished, and not a one of them is well fed. I can understand the drive to survive, yet the drive to survive doesn't mean that all may achieve it. As I continue to approach, I come to a decision on how I shall face them.;;;;;;;;;;;;;x
