#CODE;ENGLISH;;;;;;;;;;;;;x
dw_wizardtower01;I enter the Wizard Tower where I find it's ever vigilant keeper waiting for me.\n  "Good day [ROOT.GetTitledFirstName], the crow spoke of your approach. What may I assist you with this day?"\n\n If my learning is high enough, then I can seek training to become a mage myself, or to unlock a casting specialization.\n  If I've some coin available, I can take a look at their various wares they offer.\n  Another option with some coin is to obtain an arcane practitioner for my court.;;;;;;;;;;;;;x
dw_wizardtower01a;I'm here to learn;;;;;;;;;;;;;x
dw_wizardtower01b;I'm here to shop;;;;;;;;;;;;;x
dw_wizardtower01c;I'm here to recruit;;;;;;;;;;;;;x
dw_wizardtower01d;Nevermind;;;;;;;;;;;;;x
dw_wizardtower100;I make my way to the second level of the tower, where I meet the wizard that is responsible for arranging the recruitment of trained magic users. Most such arrangements are temporary, job specific contracts. However, as the ruler of these lands, I've the opportunity for a long term recruitment where I can add the individual to my court.\n  The mage responsible pours over his parchments to see who's ready for recruiting. After several minutes, he shares what's available for me to make my choice.;;;;;;;;;;;;;x
dw_wizardtower100a;Random recruit.;;;;;;;;;;;;;x
dw_wizardtower100b;Recruit Scarlet Witch;;;;;;;;;;;;;x
dw_wizardtower100c;Recruit Raven;;;;;;;;;;;;;x
dw_wizardtower100d;Recruit Hermione;;;;;;;;;;;;;x
dw_wizardtower100e;Recruit Sorcey;;;;;;;;;;;;;x
dw_wizardtower100end;Nevermind.;;;;;;;;;;;;;x
dw_wizardtower101;I select the Scarlet Witch. I follow the recruiter to where she is presently training.\n  She's clearly surrounded with an impressive aura, as she's going through a series of complex hand motions. Noticing us, she gives a chant and alters her movements, causing the power she built up to slowly recede.\n  She looks from the recruiter to me. "It is a pleasure to meet the ruler of these lands. I'm Wanda Maximoff, although most around here refer to me as the Scarlet Witch."\n  We have a very interesting chat. I get the impression that her morale compass is a little fluid. I definitely get the impression that it'd be better to be on her good side than her bad side. Alas, she seems to have no issues with me during our discussion, and she indicates that she'll follow my lead and seek to be a reliable contributor to my goals.;;;;;;;;;;;;;x
dw_wizardtower101a;Welcome to my court.;;;;;;;;;;;;;x
dw_wizardtower101b;Go experience the world (Banish);;;;;;;;;;;;;x
dw_wizardtower101c;Begone forever (Vanishes);;;;;;;;;;;;;x
dw_wizardtower102;I select the one called Raven. I follow the recruiter to a dark room, heavy in shadows save for light that spills in from an open window. There is a flash of light, followed by billowing smoke which roils about the room. At the edge of smoke and light, I see a dark clad figure. For just a moment, it seemed as though the smoke took the shape of wings, which disperses as the person notices us.\n  Approaching us, I see that the dark clothed figure is a young woman. She looks between the recruiter and I, and then gives a nod of acknowledgement.\n  "I am called Raven. If you wish my birth name, it is Rachel Roth. I assume I am now in your employ."\n  She's short on words, clearly not one fond of speaking. Still, her quiet bearing doesn't seem to be due to shyness, as she seems confident in herself based on her posture. Perhaps she's simply more humble than shy.\n  She begins tapping her foot, so patience isn't a strength of hers. Then again, I've not yet responded to her, so I guess I should stop with my silent assessment.;;;;;;;;;;;;;x
dw_wizardtower102a;Welcome to my court.;;;;;;;;;;;;;x
dw_wizardtower102b;Go experience the world (Banish);;;;;;;;;;;;;x
dw_wizardtower102c;Begone forever (Vanishes);;;;;;;;;;;;;x
dw_wizardtower103;I select the one called Hermione, who I understand is a young mage who just completed her schooling. \n  I follow the directions up a spiraling staircase to a room with a young woman in the middle of it. She's starring intently at a book, silently mouthing something as though to get it's pronunciation correct. With the resolve apparent in her eyes, she quickly utters a string of arcane words and then with a flourish of her wrist and the wave of a wand, the smoke in the room forms the image of a cat that bounds around briefly before dissipating.\n  A smile beams on her face, until she finally notices me. It quickly disappears as she puts on a more serious and disciplined personae.\n  "Greetings [ROOT.GetTitledName]. Is there something I can assist you with?"\n  While she seeks to subdue it, I can almost see the excitement within her, clearly hoping my visit involves her and not simply directions to find another.;;;;;;;;;;;;;x
dw_wizardtower103a;Welcome to my court Hermione.;;;;;;;;;;;;;x
dw_wizardtower103b;Go experience the world (Banish);;;;;;;;;;;;;x
dw_wizardtower103c;Begone forever (Vanishes);;;;;;;;;;;;;x
dw_wizardtower104;Having chosen to recruit the mage known as Sorcey, I follow the directions up a spiraling staircase to a room with a woman seated on a large chair. She seems to be holding a one-sided conversation with a skull she is holding, when she stops and looks in my direction.\n  "Why hello [ROOT.GetTitledFirstName]. I'm Sorcey, and assuming you're looking for me, then just say the world and I'm more than ready to join your court."\n  I ask her why she would assume I'm there to invite her to court, and with a little pout, she mentions that no one seems to ask her for anything. Not even directions, so if I'm here, surely it's to recruit her.\n  Of course, that was my original intention as I walked up the stairway to come to this room.;;;;;;;;;;;;;x
dw_wizardtower104a;Welcome to my court Sorcey.;;;;;;;;;;;;;x
dw_wizardtower200.0;I make my way through the tower until I come across a small room that is filled with books, scrolls, and an assortment of objects that seem to range from the mundane to arcane. In the middle of the room is an elderly dwarven woman, with a winged serpent perched upon her shoulder. Upon noticing me, she gives me a grin and taps her staff cane excitedly on the ground.\n  "By the grace of Hermes, I never expected to see [ROOT.GetTitledFirstName] enter my humble classroom. I'm Drudga. What can I do for you?"\n  I explain that I'm interested in learning how to wield the mysterious magical energies that exist within this world. With this, the elderly dwarf looks me over with earnest. Clearly evaluating me.\n  "Very well, I can show you the basics. It's not quick. Most take about a year, some sooner, others longer. Once done, you'd be a mage. Be aware, it's only the beginning. There are specializations that you'd then likely want to follow-up on. In order to learn different spells.";;;;;;;;;;;;;x
dw_wizardtower200.1;I make my way through the tower, back to the small room of my first instructor, Drudga. Upon entering, I find her there, looking the same as always.\n  "Welcome [ROOT.GetTitledFirstName], I am honored to see you here today as a fellow arcane user. Is there a new path of knowledge that I can point you towards?"\n  Transmutation Specialists use magic that remakes an object. Evocation Specialists manipulate energy with explosive results and are commonly employed as Battle Mages. Necromancers specialize in magic related to the dead. Summoner Specialists use complex rituals to call forth beings from elsewhere.\n  Training time for each is similar to the time investment of mage training that you've completed (roughly a year).;;;;;;;;;;;;;x
dw_wizardtower200a;I'm ready to start.;;;;;;;;;;;;;x
dw_wizardtower200b;Transmutation Training.;;;;;;;;;;;;;x
dw_wizardtower200c;Evocation Training.;;;;;;;;;;;;;x
dw_wizardtower200d;Necromancy Training.;;;;;;;;;;;;;x
dw_wizardtower200e;Summoning Training.;;;;;;;;;;;;;x
dw_wizardtower200end;I've nothing left to learn.;;;;;;;;;;;;;x
dw_wizardtower201;My elderly dwarven instructor calls out what largely seems like random titles out into the air. I hear some shuffling from behind the shelves and soon a young woman appears with a stack of books and scrolls.\n  "Here dearie, please give the items to [ROOT.GetTitledFirstName]."\n  I accept the materials and the young woman gives a small curtesy before excusing herself.\n  "A good young lass she is. A fair amount of potential herself. Like you, she's in training, yet without a place to call home, she stays here. You meanwhile, are of course free to do your reading and training where you please. Difference in status and all. Just remember, most take about a year, others less, others more. Stay your course, and you'll be a mage in the end."\n  I listen as she goes over the order of material, and a variety of other advice. Then with little more to add, she finally nods and let's me know that she's no more to share today.;;;;;;;;;;;;;x
dw_wizardtower201a;Thank you.;;;;;;;;;;;;;x
dw_wizardtower202;I've made it through much of the introductory theories of magic, and am now ready for the next stage where I shall begin to learn how to control the arcane energies within the world. Based on what my arcane instructor has shared with me, I've just completed the first third of the journey. The next third is a risky one, where those who've pressed to quickly have suffered mishaps.\n  Do I push myself to bring a quicker resolution to my training, or shall I stay the course?;;;;;;;;;;;;;x
dw_wizardtower202a;I shall stay the course.;;;;;;;;;;;;;x
dw_wizardtower202b;I shall push myself.;;;;;;;;;;;;;x
dw_wizardtower202c;What's the hurry?;;;;;;;;;;;;;x
dw_wizardtower203;I have advanced my understanding of the arcane to the stage where I can focus the energies within my hands. When I focus enough, I can even see the energies taking shape, akin to a ball of wispy energy.\n  The next stage in my training is the last third. At it's completion I will be a mage with a foundation in controlling magical energies that can be formed into spells. This next stage is more risky than the last one to try and speed through, yet the allure of achieving my end goal sooner rather than later is awfully appealing.;;;;;;;;;;;;;x
