#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
### Normal Traits
pureblood;Pure Blood;;;;;;;;;;;;;x
pureblood_desc;Through inbreeding and family intercourse this person has been gifted with blood that is more pure than most, allowing for greater intellectual, magical, and martial prowess;;;;;;;;;;;;;
purity_of_blood;Purity of Blood Ritual;;;;;;;;;;;;;
purity_of_blood_desc;Unlock the potential of your royal, unspoiled bloodline.;;;;;;;;;;;;;
### Sexual Traits
futa;Futanari;;;;;;;;;;;;;x
futa_desc;A woman with a dick.;;;;;;;;;;;;;x
feminine;Feminine;;;;;;;;;;;;;x
feminine_desc;A man who is extremely feminine looking.;;;;;;;;;;;;;x
masculine;Masculine;;;;;;;;;;;;;x
masculine_desc;A woman who is extremely masculine looking.;;;;;;;;;;;;;x
bombshell;Bombshell;;;;;;;;;;;;;x
bombshell_desc;Meant to be show the beautiful amongst the fair.;;;;;;;;;;;;;x
tiny_tits;Tiny Breasts;;;;;;;;;;;;;x
tiny_tits_desc;Flat chested, less than an A cup.;;;;;;;;;;;;;x
small_tits;Small Breasts;;;;;;;;;;;;;x
small_tits_desc;About the size of an A cup.;;;;;;;;;;;;;x
regular_tits;Regular Breasts;;;;;;;;;;;;;x
regular_tits_desc;Average sized, B cup.;;;;;;;;;;;;;x
big_tits;Big Breasts;;;;;;;;;;;;;x
big_tits_desc;Larger than average, C cup.;;;;;;;;;;;;;x
huge_tits;Huge Breasts;;;;;;;;;;;;;x
huge_tits_desc;Huge, D cup.;;;;;;;;;;;;;x
enormous_tits;Enormous Breasts;;;;;;;;;;;;;x
enormous_tits_desc;Enormous, E cup.;;;;;;;;;;;;;x
gigantic_tits;Gigantic Breasts;;;;;;;;;;;;;x
gigantic_tits_desc;Gigantic, F+ cup.;;;;;;;;;;;;;x
tiny_dick;Tiny Dick;;;;;;;;;;;;;x
tiny_dick_desc;Tiny, 2-3 inches;;;;;;;;;;;;;x
small_dick;Small Dick;;;;;;;;;;;;;x
small_dick_desc;Small, 4-5 inches;;;;;;;;;;;;;x
regular_dick;Regular Dick;;;;;;;;;;;;;x
regular_dick_desc;Average, 6-7 inches.;;;;;;;;;;;;;x
big_dick;Big Dick;;;;;;;;;;;;;x
big_dick_desc;Large, 7-8 inches.;;;;;;;;;;;;;x
huge_dick;Huge Dick;;;;;;;;;;;;;x
huge_dick_desc;Huge, 9-10 inches.;;;;;;;;;;;;;x
enormous_dick;Enormous Dick;;;;;;;;;;;;;x
enormous_dick_desc;Enormous, 11-12 inches.;;;;;;;;;;;;;x
gigantic_dick;Gigantic Dick;;;;;;;;;;;;;x
gigantic_dick_desc;Gigantic, over 12 inches.;;;;;;;;;;;;;x
