#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
nuan_group;Nuan;;;;;;;;;x
sidhe;Sidhe;;;;;;;;;x
crytan;Crytan;;;;;;;;;x
kalleon;Kalleon;;;;;;;;;x
belfast;Belfast;;;;;;;;;x
alanis;Alanis;;;;;;;;;x
tocharian;Tocharian;;;;;;;;;x
leshnik;Leshnik;;;;;;;;;x
leshanka;Leshanka;;;;;;;;;x
kvanka;Kvanka;;;;;;;;;x
ulkhu;Ulku;;;;;;;;;x
phroko;Phroko;;;;;;;;;x
wilderness;Wilderness;;;;;;;;;x
wilderness_group;Uninhabited;;;;;;;;;x
iefyr;Iefyr;;;;;;;;;x
nym;Nym;;;;;;;;;x
sinaht;Sinaht;;;;;;;;;x
maiele;Maiele;;;;;;;;;x
namys;Namys;;;;;;;;;x
